"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
11148895510,"1/4 ounce (~7 grams)",".5 grams or less","","","1 gram","","","","","",""
11111801761,"2-3 grams","1 gram","","",".5 grams or less","","","","","",""
10626429877,"","","","","","","","","","",""
10615382686,"4-6 grams",".5 grams or less","","","","","","","","","1 gram"
10544586314,"4-6 grams","","","",".5 grams or less","","","","","",""
10516361607,".5 grams or less","","","","","","","","","",""
10464834197,"15 grams - 1 ounce (~28 grams)","","","","","","","","","",""
10361398461,"2-3 grams","4-6 grams","","","","","","","","",""
10313041082,"1/4 ounce (~7 grams)","","","","1 gram","","","","","",""
10289128872,"1/4 ounce (~7 grams)",".5 grams or less","","","1 gram","","","","","",""
10288684650,"1/4 ounce (~7 grams)","","","",".5 grams or less","","","","","",""
10263390124,"","","","","","","","","","",""
10249664681,"1/4 ounce (~7 grams)","1 gram","","",".5 grams or less","","","","","",""
10247119003,"4-6 grams","","","","2-3 grams","","","","","",""
10243813684,"","","","","","","","","","",""
10239109393,"1/4 ounce (~7 grams)","","","",".5 grams or less","","","","","",""
10235888421,"1/4 ounce (~7 grams)","1 gram","","",".5 grams or less","","","","","",""
10233663249,".5 grams or less","","","","","","","","","",""
10232561621,".5 grams or less","","","","","","","","","",""
10231985248,"1/4 ounce (~7 grams)","","","",".5 grams or less","","","","","",""
10231654493,"","2-3 grams","","",".5 grams or less","","","","","",""
10231320543,"","","","","","","","","","",""
10230754508,"","","","","","","","","","",""
10230326071,"1/4 ounce (~7 grams)","","","","","","","","","",""
10230119752,"","1 gram","","","","","","","","",""
10230014122,"","","","","","","","","","",""
10229975238,"1 gram",".5 grams or less","","","","","","","","",""
10229706080,"","","","","","","","","","",""
10229649057,"","8 grams -1/2 ounce (~ 14 grams)","","",".5 grams or less","","","","","",""
10229605942,".5 grams or less","","","","","","","","","",""
10229595919,"","","","","","","","","","",""
10229590537,"8 grams -1/2 ounce (~ 14 grams)","15 grams - 1 ounce (~28 grams)","","","2-3 grams","","","","","",""
10229561329,"","","","","","","","","","",""
10229507895,"",".5 grams or less","","","","","","","","",""
10229494406,"",".5 grams or less","","","","","","","","",""
10229453603,".5 grams or less","","","","","","","","","",""
10229451801,"1 gram","","","","","","","","","",""
10229447544,"","","","","","","","","","",""
10229426798,".5 grams or less","","","","","","","","","",""
10229350099,"2-3 grams","","","","","","","","","",""
10229332529,"2-3 grams","","","","","","","","","",""
10229326183,"","","","","","","","","","",""
10229325434,"4-6 grams","","","","","","","","","",""
10229317169,"","1 gram","","","","","","","","",""
10226660268,"","1 gram","","","","","","","","",""
10213685358,"8 grams -1/2 ounce (~ 14 grams)","","","","","","","","","",""
10211143094,"",".5 grams or less","","","","","","","","",""
10201740973,"","","","","2-3 grams","","","","","",""
10196435492,"","2-3 grams","","","4-6 grams","","","","","",""
10192995461,"15 grams - 1 ounce (~28 grams)","","","","","","","","","",""
10192677147,"","","","","1/4 ounce (~7 grams)","","","","","",""
10192556821,"4-6 grams","","","","","","","","","",""
10188478016,"","","","","1 gram","","","","","",""
10186789647,"4-6 grams","2-3 grams","","",".5 grams or less","","","","","",""
10185410224,"1/4 ounce (~7 grams)","","","","","","","","","",""
10180903610,"1 gram","","","","","","","","","",""
10179657355,"4-6 grams","","","","","","","","","",""
10176582087,"","","","","2-3 grams","","","","","",""
10175028993,".5 grams or less","2-3 grams","","","1 gram","","","","","",""
10168633491,"15 grams - 1 ounce (~28 grams)","","","","","","","","","",""
10168553663,"4-6 grams","","","","","","","","","",""
10166785910,".5 grams or less","","","","","","","","","",""
10166774106,"1/4 ounce (~7 grams)","2-3 grams","","","4-6 grams","","","","","",""
10166125436,"",".5 grams or less","","","","","","","","",""
10166086781,"4-6 grams","","","","","","","","","",""
10164798083,"",".5 grams or less","","","","","","","","",""
10163869931,"","8 grams -1/2 ounce (~ 14 grams)","","","","","","","","",""
10159689338,"","","","","2-3 grams","","","","","",""
10156521325,"15 grams - 1 ounce (~28 grams)","","","","","","","","","",""
10148289731,"1/4 ounce (~7 grams)","","","","","","","","","",""
10146296373,"1/4 ounce (~7 grams)",".5 grams or less","","","1 gram","","","","","",""
10142993231,"2-3 grams","","","","","","","","","",""
10142762492,"","1 gram","","","","","","","","",""
10142214540,"4-6 grams","","","","","","","","","",""
10140183753,"2-3 grams","4-6 grams","","","1 gram","","","","","",""
10138761669,"15 grams - 1 ounce (~28 grams)","","","",".5 grams or less","","","","","",""
10133313827,"4-6 grams","","","","","","","","","",""
10131726683,"","1 gram","","","","","","","","",""
10131300085,"15 grams - 1 ounce (~28 grams)","","","","","","","","","",""
10131192376,"2-3 grams","","","",".5 grams or less","","","","","",""
10131149670,"2-3 grams","","","","","","","","","",""
10131117879,"","","","","2-3 grams","","","","","",""
10129670801,".5 grams or less","","","","","","","","","",""
10129657579,"2-3 grams","","","","","","","","","",""
10129349932,"","","","","2-3 grams","","","","","",""
10128374991,"",".5 grams or less","","","","","","","","",""
10128026830,"2-3 grams","","","","","","","","","",""
10127959516,"1/4 ounce (~7 grams)","","","","","","","","","",""
10127844274,"","","","","","","","","","",""
10127786477,"More than 1 ounce","","","","","","","","","",""
10127640903,"More than 1 ounce","","","","1/4 ounce (~7 grams)","","","","","",""
10127434115,"","","","","","","","","","",""
10127186413,"","","","","1 gram","","","","","",""
10120474217,"","","","","1/4 ounce (~7 grams)","","","","","",""
10118545790,"1 gram","","","","","","","","","",""
10117806489,"4-6 grams","","","",".5 grams or less","","","","","",""
10113145654,"1/4 ounce (~7 grams)","","","",".5 grams or less","","","","","",""
10113045616,"2-3 grams","","","",".5 grams or less","","","","","",""
