"response","count","percent_responded"
"Blue Dream",3,2.97
"Buddha's Sister",2,1.98
"Gorilla Glue #4",2,1.98
"Las Vegas Bubba Kush",2,1.98
"Northern lights",2,1.98
"sour diesel",2,1.98
"Sour Diesel",2,1.98
"White Widow",2,1.98
"?",1,0.99
"24K",1,0.99
"AK-47",1,0.99
"Any I get my hands on",1,0.99
"Any indica higher thc %",1,0.99
"blissful wizard",1,0.99
"Blue dream",1,0.99
"Blue dream ",1,0.99
"Blueberry",1,0.99
"Brownie Scout ",1,0.99
"California Orange ",1,0.99
"CBD",1,0.99
"CBD oil",1,0.99
"Chad Bud",1,0.99
"Chemdawg",1,0.99
"Citrus sap ",1,0.99
"Deep chunkolate",1,0.99
"Desert Diesel",1,0.99
"don't have favorites",1,0.99
"Durban Poison",1,0.99
"Gg4",1,0.99
"GG4",1,0.99
"Girl scout cookie",1,0.99
"girl scout cookie ",1,0.99
"Golden Goat",1,0.99
"Gorilla glue",1,0.99
"Gorilla Glue",1,0.99
"Granddaddy Purple",1,0.99
"grape god",1,0.99
"Grape God",1,0.99
"green crack",1,0.99
"Hawaiian Spice",1,0.99
"Herijuana ",1,0.99
"home grown",1,0.99
"Hshsj",1,0.99
"HYDRO",1,0.99
"I don't know",1,0.99
"i dont know",1,0.99
"indica",1,0.99
"Indica",1,0.99
"Indica ",1,0.99
"Katsu Bubba Kush",1,0.99
"Kush",1,0.99
"Las Vegas Buba Kush",1,0.99
"Lemon Jeffery",1,0.99
"Lemon Jeffrey ",1,0.99
"Lemon Meringue ",1,0.99
"lemon skunk",1,0.99
"Lemon Squeeze",1,0.99
"maes Cannatonic",1,0.99
"Maple Trainwreck",1,0.99
"Master Kush x Skunk",1,0.99
"Meltdown ",1,0.99
"Midnight",1,0.99
"N/a",1,0.99
"Northern Lights",1,0.99
"Not sure",1,0.99
"Not sure ",1,0.99
"OMG",1,0.99
"Pineapple Express",1,0.99
"Pink Kush",1,0.99
"Pink Lemonade",1,0.99
"Purple kush",1,0.99
"Purple urple",1,0.99
"Redline ",1,0.99
"Scott’s OG",1,0.99
"Shark Shock and ALL HIGH CBD STRAINS ",1,0.99
"Skywalker OG ",1,0.99
"Sour diesel",1,0.99
"sour kush",1,0.99
"Sour Tangie",1,0.99
"Star cookie",1,0.99
"Starwood",1,0.99
"Stavia",1,0.99
"strawberry",1,0.99
"Strawberry cough/// mood enhancer",1,0.99
"Sweet tooth",1,0.99
"Sweet Tooth",1,0.99
"Tangerine",1,0.99
"Tardis #9",1,0.99
"Trainwreck",1,0.99
"unknown",1,0.99
"Vanilla kush",1,0.99
"Whatever is available",1,0.99
