"q46","What information would you like to know related to cannabis to help you make a decision about what cannabis products to use? Please select all that apply.","n =  101"
"response","count","percent_responded"
"Different effects of different cannabinoids","79","78.22"
"Medical value of cannabis","62","61.39"
"Cultivation and extraction","54","53.47"
"Cannabis and pharmaceutical drug interactions","47","46.53"
"Cannabis genetics","37","36.63"
"Side effects of cannabis","33","32.67"
"Other (please specify)","7","6.93"
"Other (please list below)","5","4.95"
