"q11","How do you prefer to use cannabis? Please select all that apply.","n =  78"
"response","count","percent_responded"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","48","61.54"
"Smoke flower","48","61.54"
"Vape cartridges","34","43.59"
"Vape flower","24","30.77"
"Tinctures","22","28.21"
"Salves/topicals","16","20.51"
"Capsules","12","15.38"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","11","14.1"
"Other (please specify)","3","3.85"
"Transdermal patches","3","3.85"
"Suppositories","2","2.56"
