"response","count","percent_responded"
"CBD",2,2.56
"Granddaddy Purple",2,2.56
"Grape God",2,2.56
"Green crack",2,2.56
"indica",2,2.56
"Star 91 #8",2,2.56
"1",1,1.28
"ACDC",1,1.28
"AK47",1,1.28
"ASH ",1,1.28
"Barcelona ",1,1.28
"Bio diesel",1,1.28
"Biodiesel ",1,1.28
"Bruce Banner",1,1.28
"Buddha's Sister",1,1.28
"CBD Critical Mass",1,1.28
"Chem Dawg",1,1.28
"Critical Sensei Star",1,1.28
"Desert Diesel",1,1.28
"Domnesia",1,1.28
"don't have any",1,1.28
"don't have favorites",1,1.28
"Dr. Who",1,1.28
"GDP",1,1.28
"Golden Glue",1,1.28
"Gorilla Glue",1,1.28
"Gorilla glue ",1,1.28
"Gorilla Glue #4",1,1.28
"Granddaddy purple",1,1.28
"highwayman",1,1.28
"Hope's cookies",1,1.28
"I don't know",1,1.28
"I dont have a favorite",1,1.28
"i dont know",1,1.28
"I haven't found my #1 favorite yet",1,1.28
"Indica ",1,1.28
"Indigo ",1,1.28
"Ingrid",1,1.28
"Just use edibles",1,1.28
"KT Dawg",1,1.28
"LA Confidential",1,1.28
"maes Cannatonic",1,1.28
"Maple Trainwreck",1,1.28
"Meltdown ",1,1.28
"Midnight",1,1.28
"Mimosa",1,1.28
"n/a",1,1.28
"N/a",1,1.28
"Night Terror",1,1.28
"None In Particular, Prefer Hybirds or Indica's",1,1.28
"Northern Lights",1,1.28
"Not sure",1,1.28
"Platinum",1,1.28
"Purple kush",1,1.28
"Purple urple",1,1.28
"Redline ",1,1.28
"SAH",1,1.28
"Skywalker Kush",1,1.28
"Sour diesel",1,1.28
"Sour Diesel",1,1.28
"Still",1,1.28
"Strawberry Cheesecake",1,1.28
"super lemon haze",1,1.28
"Swamp Thing",1,1.28
"Tahoe OG",1,1.28
"Tangerine",1,1.28
"Tangie",1,1.28
"THC 5 mg gummies",1,1.28
"The Remedy (CBD)",1,1.28
"unk",1,1.28
"Whatever is available",1,1.28
"white widow",1,1.28
