"q46","What information would you like to know related to cannabis to help you make a decision about what cannabis products to use? Please select all that apply.","n =  78"
"response","count","percent_responded"
"Different effects of different cannabinoids","61","78.21"
"Medical value of cannabis","45","57.69"
"Cultivation and extraction","38","48.72"
"Cannabis genetics","33","42.31"
"Cannabis and pharmaceutical drug interactions","26","33.33"
"Side effects of cannabis","24","30.77"
"Other (please list below)","3","3.85"
"Other (please specify)","3","3.85"
