"q55","What is your age in years?","n =  78  avg =  50.179"
"response","count","percent_responded"
"62","5","6.41"
"28","4","5.13"
"63","4","5.13"
"23","3","3.85"
"51","3","3.85"
"57","3","3.85"
"59","3","3.85"
"66","3","3.85"
"67","3","3.85"
"27","2","2.56"
"32","2","2.56"
"37","2","2.56"
"42","2","2.56"
"49","2","2.56"
"60","2","2.56"
"61","2","2.56"
"68","2","2.56"
"72","2","2.56"
"21","1","1.28"
"25","1","1.28"
"26","1","1.28"
"29","1","1.28"
"31","1","1.28"
"34","1","1.28"
"35","1","1.28"
"36","1","1.28"
"38","1","1.28"
"39","1","1.28"
"40","1","1.28"
"41","1","1.28"
"43","1","1.28"
"44","1","1.28"
"45","1","1.28"
"46","1","1.28"
"47","1","1.28"
"52","1","1.28"
"53","1","1.28"
"54","1","1.28"
"55","1","1.28"
"56","1","1.28"
"58","1","1.28"
"64","1","1.28"
"69","1","1.28"
"71","1","1.28"
"73","1","1.28"
"74","1","1.28"
"76","1","1.28"
