"q55","What is your age in years?","n =  1281  avg =  46.076"
"response","count","percent_responded"
"35","40","3.12"
"40","38","2.97"
"30","37","2.89"
"60","36","2.81"
"39","32","2.5"
"57","32","2.5"
"59","32","2.5"
"62","32","2.5"
"28","31","2.42"
"36","31","2.42"
"29","30","2.34"
"65","30","2.34"
"51","29","2.26"
"55","29","2.26"
"32","28","2.19"
"63","28","2.19"
"41","27","2.11"
"50","27","2.11"
"33","26","2.03"
"52","26","2.03"
"61","26","2.03"
"37","25","1.95"
"38","24","1.87"
"42","24","1.87"
"47","24","1.87"
"53","24","1.87"
"56","24","1.87"
"67","23","1.8"
"23","22","1.72"
"27","22","1.72"
"48","22","1.72"
"58","22","1.72"
"31","21","1.64"
"43","21","1.64"
"45","21","1.64"
"49","21","1.64"
"66","21","1.64"
"24","20","1.56"
"34","20","1.56"
"46","20","1.56"
"21","19","1.48"
"25","19","1.48"
"26","19","1.48"
"54","19","1.48"
"44","18","1.41"
"68","17","1.33"
"22","15","1.17"
"64","14","1.09"
"69","11","0.86"
"70","11","0.86"
"72","10","0.78"
"75","8","0.62"
"71","7","0.55"
"73","7","0.55"
"74","4","0.31"
"76","3","0.23"
"20","2","0.16"
"79","2","0.16"
"80","2","0.16"
"12","1","0.08"
"14","1","0.08"
"16","1","0.08"
"19","1","0.08"
"82","1","0.08"
"92","1","0.08"
