"q9","Have you experienced any side effects from using cannabis? Please select all that apply","n =  1292"
"response","count","percent_responded"
"Dry mouth","804","62.23"
"Changes in appetite","362","28.02"
"More or less talkative","361","27.94"
"Sleepiness/fatigue","343","26.55"
"Increased energy","320","24.77"
"Experienced no side effects","251","19.43"
"Memory problems","227","17.57"
"Feeling of being ""altered""","165","12.77"
"Difficultly concentrating","141","10.91"
"Paranoia","133","10.29"
"Heart racing/palpitations","130","10.06"
"Changes in libido","125","9.67"
"Racing thoughts","103","7.97"
"Anxiety","101","7.82"
"Tough to get started in the morning (lassitude)","95","7.35"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","83","6.42"
"Other (please specify)","75","5.8"
"Dizziness","63","4.88"
"Headache","47","3.64"
"Apathy","44","3.41"
"Sweating","36","2.79"
"Nausea","28","2.17"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","27","2.09"
"Depression","16","1.24"
