"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  33"
"response","count","percent_responded"
"Money to purchase products","21","63.64"
"Money required to get medical card","15","45.45"
"Stigma","14","42.42"
"Owning a firearm","12","36.36"
"Place to consume cannabis","8","24.24"
"Workplace testing or other policies","8","24.24"
"Access to the right products","7","21.21"
"Other (please specify)","2","6.06"
"Lack of knowledge","1","3.03"
"Previous bad experience","1","3.03"
