"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  33"
"response","count","percent_responded"
"Pain","22","66.67"
"Depression/mood","20","60.61"
"Sleep/insomnia","19","57.58"
"Anxiety/panic attacks","17","51.52"
"Appetite/weight","11","33.33"
"Aggression","6","18.18"
"Attention/concentration","6","18.18"
"Headache","5","15.15"
"Inflammation","3","9.09"
"Skin conditions","3","9.09"
"Spasms","3","9.09"
"Mania/psychosis","1","3.03"
"Other (please specify)","1","3.03"
