Respondent ID,Did you ever go on combat patrols or have other dangerous duty?,Were you ever under enemy fire?,Were you ever surrounded by the enemy?,"What percentage of the soldiers in your unit were killed (KIA), wounded or missing in action (MIA)?",How often did you fire rounds at the enemy?,How often did you see someone hit by incoming or outgoing rounds?,"How often were you in danger of being injured or killed (i.e., being pinned down, overrun, ambushed, near miss, etc.)?",,,,,,,,,,
,Response,Response,Response,Response,Response,Response,Response,,,,,,,,,,
10868495105,51+ times,< 1 months,1-2 times,1-25%,Never,3-12 times,51 or more,,,,,,,,,,
10767176517,51+ times,7 months or more,3-12 times,51-75%,51 or more,13-50 times,51 or more,,,,,,,,,,
10716623034,4-12 times,Never,No,None,Never,1-2 times,Never,,,,,,,,,,
10699810522,51+ times,Never,No,None,Never,Never,Never,,,,,,,,,,
10647255505,51+ times,7 months or more,3-12 times,1-25%,3-12 times,3-12 times,13-50 times,,,,,,,,,,
10607782752,51+ times,7 months or more,1-2 times,1-25%,13-50 times,1-2 times,51 or more,,,,,,,,,,
10581017097,1-3 times,< 1 months,1-2 times,1-25%,1-2 times,1-2 times,1-2 times,,,,,,,,,,
10575479401,51+ times,7 months or more,26+ times,51-75%,51 or more,51 or more,51 or more,,,,,,,,,,
10569513731,51+ times,7 months or more,3-12 times,26-50%,3-12 times,3-12 times,3-12 times,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,5,2,2,2,1,3,5,,,8,1,2,1,0,4,8,24
,5,5,3,4,5,4,5,,,8,4,4,3,4,6,8,37
,3,1,1,1,1,2,1,,,4,0,0,0,0,2,0,6
,5,1,1,1,1,1,1,,,8,0,0,0,0,0,0,8
,5,5,3,2,3,3,4,,,8,4,4,1,2,4,6,29
,5,5,2,2,4,2,5,,,8,4,2,1,3,2,8,28
,2,2,2,2,2,2,2,,,2,1,2,1,1,2,2,11
,5,5,5,4,5,5,5,,,8,4,6,3,4,8,8,41
,5,5,3,3,3,3,3,,,8,4,4,2,2,4,4,28
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,8,1,2,1,0,4,8,6,Light,,,,,,,,
,8,4,4,3,4,6,8,8,Light,,,,,,,,
,4,0,0,0,0,2,0,11,Light - moderate,,,,,,,,
,8,0,0,0,0,0,0,24,Moderate,,,Light,2,0.222222222,,,
,8,4,4,1,2,4,6,28,Moderate - heavy,,,Light - moderate,1,0.111111111,,,
,8,4,2,1,3,2,8,28,Moderate - heavy,,,Moderate,1,0.111111111,,,
,2,1,2,1,1,2,2,29,Moderate - heavy,,,Moderate - heavy,3,0.333333333,,,
,8,4,6,3,4,8,8,37,Heavy,,,Heavy,2,0.222222222,,,
,8,4,4,2,2,4,4,41,Heavy,,,,,,,,
