"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  16"
"response","count","percent_responded"
"Chronic pain","12","75"
"Anxiety","10","62.5"
"Depression","9","56.25"
"Posttraumatic stress disorder (PTSD)","7","43.75"
"Arthritis","5","31.25"
"Insomnia","5","31.25"
"Obesity","4","25"
"Allergies","3","18.75"
"Bipolar/manic depression","3","18.75"
"Diabetes","3","18.75"
"Hypertension","3","18.75"
"Other (please specify)","3","18.75"
"Reflux esophagitis","3","18.75"
"Cancer","2","12.5"
"Gastrointestinal/digestive system disorders","2","12.5"
"Respiratory problems","2","12.5"
"Attention deficit/hyperactivity disorder (ADHD)","1","6.25"
"Eczema","1","6.25"
"Epilepsy","1","6.25"
"Fibromyalgia/myositis","1","6.25"
"Inflammatory bowel disease (IBD)","1","6.25"
"Substance abuse/addiction","1","6.25"
