"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10868495105,"15 grams to 1 ounce (~28 grams)","","","",""
10767176517,"I don't know how much I use per week","","","",""
10760373939,"1/2 gram","","","",""
10758288741,"1/4 ounce (~7 grams)","","","",""
10719755952,"2-3 grams","1/4 gram or less","","","None"
10716623034,"","","","",""
10699810522,"I don't know how much I use per week","","","",""
10671009796,"","","","",""
10659241585,"1/4 ounce (~7 grams)","","","",""
10647255505,"","","","",""
10607782752,"","","","",""
10598306507,"","","","",""
10581017097,"1/2 gram","","","",""
10575479401,"","8 grams to 1/2 ounce (~14 grams)","","",""
10574111964,"","2-3 grams","","","1/4 gram or less"
10569513731,"8 grams to 1/2 ounce (~14 grams)","","","",""
