"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  16"
"response","count","percent_responded"
"Sleep/insomnia","12","75"
"Depression/mood","10","62.5"
"Pain","9","56.25"
"Anxiety/panic attacks","8","50"
"Appetite/weight","4","25"
"Aggression","3","18.75"
"Attention/concentration","3","18.75"
"Headache","3","18.75"
"Spasms","3","18.75"
"Inflammation","2","12.5"
"Mania/psychosis","1","6.25"
"Nausea/vomiting","1","6.25"
"Ocular pressure","1","6.25"
"Other (please specify)","1","6.25"
"Respiratory","1","6.25"
"Seizures","1","6.25"
"Skin conditions","1","6.25"
