"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  78"
"response","count","percent_responded"
"Pain","44","56.41"
"Sleep/insomnia","42","53.85"
"Anxiety/panic attacks","34","43.59"
"Depression/mood","32","41.03"
"Headache","22","28.21"
"Inflammation","22","28.21"
"Aggression","14","17.95"
"Appetite/weight","12","15.38"
"Attention/concentration","10","12.82"
"Spasms","10","12.82"
"Nausea/vomiting","8","10.26"
"Ocular pressure","4","5.13"
"Other (please specify)","3","3.85"
"Mania/psychosis","2","2.56"
"Drug withdrawal","1","1.28"
"Respiratory","1","1.28"
"Skin conditions","1","1.28"
