"q53","On average, how much do you spend (in US dollars) on consumable cannabis products per week?","n =  78  avg =  97.295"
"response","count","percent_responded"
"50","14","17.95"
"100","9","11.54"
"25","5","6.41"
"40","5","6.41"
"0","4","5.13"
"10","4","5.13"
"200","4","5.13"
"60","4","5.13"
"75","4","5.13"
"20","3","3.85"
"15","2","2.56"
"150","2","2.56"
"30","2","2.56"
"55","2","2.56"
"65","2","2.56"
"700","2","2.56"
"120","1","1.28"
"125","1","1.28"
"16","1","1.28"
"300","1","1.28"
"35","1","1.28"
"350","1","1.28"
"360","1","1.28"
"8","1","1.28"
"80","1","1.28"
"800","1","1.28"
