"q74","What was the highest pay grade/rank achieved at the time of formal discharge?","n =  78"
"response","count","percent_responded"
"E4","16","20.51"
"E5","13","16.67"
"E-4","6","7.69"
"E3","6","7.69"
"E-3","3","3.85"
"e-4","3","3.85"
"E-5","2","2.56"
"e4","2","2.56"
"04","1","1.28"
"Colonel","1","1.28"
"cpl","1","1.28"
"Cw3","1","1.28"
"E-5/GS-11","1","1.28"
"E-6","1","1.28"
"E1","1","1.28"
"E2","1","1.28"
"e3","1","1.28"
"E6","1","1.28"
"E7","1","1.28"
"GS12/6","1","1.28"
"Major","1","1.28"
"MSG/E8","1","1.28"
"O-5/Lt Col","1","1.28"
"O4","1","1.28"
"Petty officer 1st class","1","1.28"
"Pretty high","1","1.28"
"Sargent","1","1.28"
"SGT","1","1.28"
"SGT E5","1","1.28"
"Sp4","1","1.28"
"spc","1","1.28"
"Specialist","1","1.28"
"Specialist ","1","1.28"
"SSG/E-6","1","1.28"
"SSgt ","1","1.28"
