"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  56"
"response","count","percent_responded"
"Chronic pain","43","76.79"
"Depression","38","67.86"
"Anxiety","37","66.07"
"Posttraumatic stress disorder (PTSD)","37","66.07"
"Arthritis","31","55.36"
"Insomnia","19","33.93"
"Hypertension","18","32.14"
"Respiratory problems","18","32.14"
"Obesity","17","30.36"
"Reflux esophagitis","17","30.36"
"Allergies","16","28.57"
"Gastrointestinal/digestive system disorders","15","26.79"
"Diabetes","13","23.21"
"Other (please specify)","13","23.21"
"Attention deficit/hyperactivity disorder (ADHD)","9","16.07"
"Substance abuse/addiction","9","16.07"
"Inflammatory bowel disease (IBD)","8","14.29"
"Cancer","7","12.5"
"Cardiovascular disease","7","12.5"
"Eczema","5","8.93"
"Fibromyalgia/myositis","4","7.14"
"Bipolar/manic depression","3","5.36"
