"q67","Which VA do you go to?","n =  49"
"response","count","percent_responded"
"Providence","3","6.12"
"Brockton MA","2","4.08"
"Providence, R.I.","2","4.08"
"West Roxbury","2","4.08"
"Bedford","1","2.04"
"Bedford va medical ","1","2.04"
"Boston","1","2.04"
"Boston & Worcester","1","2.04"
"Boston MA","1","2.04"
"Brooksville","1","2.04"
"Clarksville ,Tn","1","2.04"
"Edith Nourse Hospital, Bedford, MA","1","2.04"
"Fitchburg","1","2.04"
"Fitchburg Outpatient Clinic","1","2.04"
"Jamaica Plain","1","2.04"
"Jamaica Plain and West Roxbury","1","2.04"
"Jamaica Plain Boston MA","1","2.04"
"leeds","1","2.04"
"Leeds, MA","1","2.04"
"Leeds, Springfield OPC","1","2.04"
"N/A","1","2.04"
"Naples Fl","1","2.04"
"Newington, CT","1","2.04"
"Nope","1","2.04"
"Northampton ","1","2.04"
"Northampton/Leeds   ","1","2.04"
"Northampton/Leeds, MA","1","2.04"
"providence","1","2.04"
"Providence ","1","2.04"
"Providence, RI","1","2.04"
"Rather not answer.","1","2.04"
"SE VA in Gilbert,AZ","1","2.04"
"Springfield","1","2.04"
"Springfield Ma","1","2.04"
"Springfield Massachusetts","1","2.04"
"Tampa, FL","1","2.04"
"Togus VS in Maine","1","2.04"
"VA Leeds/ Vet Center West Springfield, MA","1","2.04"
"VA Outpatient Clinic, 25 Bond St, Springfield, MA 01104","1","2.04"
"West Roxbury VAMC  Massachusetts","1","2.04"
"West Roxbury, Ma","1","2.04"
"Worcester","1","2.04"
"Worcester Ma. outpatient ","1","2.04"
"Worcester, Boston","1","2.04"
