"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  56"
"response","count","percent_responded"
"Some college, no degree","14","25"
"Bachelor's degree","13","23.21"
"Associate's degree","8","14.29"
"Master's degree","8","14.29"
"High school degree or equivalent (GED)","7","12.5"
"Vocational degree","3","5.36"
"Professional degree (MD, JD, DDS, DVM)","2","3.57"
"Doctorate (Ph.D, Ed.D, etc)","1","1.79"
