Respondent ID,Did you ever go on combat patrols or have other dangerous duty?,Were you ever under enemy fire?,Were you ever surrounded by the enemy?,"What percentage of the soldiers in your unit were killed (KIA), wounded or missing in action (MIA)?",How often did you fire rounds at the enemy?,How often did you see someone hit by incoming or outgoing rounds?,"How often were you in danger of being injured or killed (i.e., being pinned down, overrun, ambushed, near miss, etc.)?",,,,,,,,,,
,Response,Response,Response,Response,Response,Response,Response,,,,,,,,,,
11166997346,3,4,2,1,3,1,3,,,,,,,,,,
11138400653,1,1,1,1,1,1,2,,,,,,,,,,
11137652132,3,1,1,2,1,3,1,,,,,,,,,,
11137625236,5,3,1,2,1,3,5,,,,,,,,,,
10661330404,1,1,1,2,1,1,1,,,,,,,,,,
10660833205,1,1,1,1,1,1,1,,,,,,,,,,
10660294275,2,1,1,1,1,1,2,,,,,,,,,,
10658741910,1,5,5,2,1,2,5,,,,,,,,,,
10658577550,5,3,2,2,2,3,2,,,,,,,,,,
10658550964,4,4,1,2,4,3,4,,,,,,,,,,
10602936383,1,1,1,1,1,1,1,,,,,,,,,,
10581447651,5,5,1,2,5,4,4,,,,,,,,,,
10580913646,4,1,1,2,1,1,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,3,4,2,1,3,1,3,,,4,3,2,0,2,0,4,15
,1,1,1,1,1,1,2,,,0,0,0,0,0,0,2,2
,3,1,1,2,1,3,1,,,4,0,0,1,0,4,0,9
,5,3,1,2,1,3,5,,,8,2,0,1,0,4,8,23
,1,1,1,2,1,1,1,,,0,0,0,1,0,0,0,1
,1,1,1,1,1,1,1,,,0,0,0,0,0,0,0,0
,2,1,1,1,1,1,2,,,2,0,0,0,0,0,2,4
,1,5,5,2,1,2,5,,,0,4,6,1,0,2,8,21
,5,3,2,2,2,3,2,,,8,2,2,1,1,4,2,20
,4,4,1,2,4,3,4,,,6,3,0,1,3,4,6,23
,1,1,1,1,1,1,1,,,0,0,0,0,0,0,0,0
,5,5,1,2,5,4,4,,,8,4,0,1,4,6,6,29
,4,1,1,2,1,1,1,,,6,0,0,1,0,0,0,7
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,4,3,2,0,2,0,4,0,Light,,,,,,,,
,0,0,0,0,0,0,2,0,Light,,,,,,,,
,4,0,0,1,0,4,0,1,Light,,,,,,,,
,8,2,0,1,0,4,8,2,Light,,,,,,,,
,0,0,0,1,0,0,0,4,Light,,,,,,,,
,0,0,0,0,0,0,0,7,Light,,,,,,,,
,2,0,0,0,0,0,2,9,Light - moderate,,,,,,,,
,0,4,6,1,0,2,8,15,Light - moderate,,,,,,,,
,8,2,2,1,1,4,2,20,Moderate,,,,Light,6,0.461538462,,
,6,3,0,1,3,4,6,21,Moderate,,,,Light - moderate,2,0.153846154,,
,0,0,0,0,0,0,0,23,Moderate,,,,Moderate,4,0.307692308,,
,8,4,0,1,4,6,6,23,Moderate,,,,Moderate - heavy,1,0.076923077,,
,6,0,0,1,0,0,0,29,Moderate - heavy,,,,,,,,
