"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  32"
"response","count","percent_responded"
"I'm not trying to reduce any medication use","8","25"
"I don’t take any medications","8","25"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","7","21.88"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","5","15.62"
"Anti-inflammatories","4","12.5"
"I have reduced my prescription medication use in the past","4","12.5"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","4","12.5"
"Beta Blockers","3","9.38"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","3","9.38"
"Muscle relaxants","3","9.38"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","3","9.38"
"Statins (e.g. Lipitor, Crestor)","3","9.38"
"Other (please specify)","2","6.25"
"Barbiturates (e.g. Floricet)","1","3.12"
