"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
10988913967,"","","","26 - 50 mg","","","","","","",""
10860732079,"","","","","","","","","","",""
10614924685,"","","","","","","","","","",""
10603607110,"","","","6-25 mg","","","","","","",""
10597433235,"","","","","","","","","","",""
10596889129,"","","","26 - 50 mg","","","","","","",""
10596325481,"","","","6-25 mg","","","","","","",""
10553098999,"","","","","","","","","","",""
10527406782,"","","","6-25 mg","","","","","","",""
10525282146,"","","","","","","","26 - 50 mg","","",""
10521362802,"","","","6-25 mg","","","","","","",""
10494159100,"","","","","","","","","","",""
10487495934,"","","","","","","","","","",""
10471159357,"","","","6-25 mg","","","","","","",""
10470869221,"","","","6-25 mg","","","","","","",""
10459656588,"","","","51 - 100 mg","","","","","","",""
10421900482,"","","","6-25 mg","","","","","","",""
10379032541,"","","","","","","","","","",""
10376051125,"","","","5 mg or less","","","","","","",""
10368748891,"","","","101 - 200 mg","","","","","","",""
10366669189,"","","","6-25 mg","","","","","","",""
10360662743,"","","","","","","","5 mg or less","","",""
10360328144,"","","","5 mg or less","","","","","","",""
10360076082,"","","","6-25 mg","","","","","","",""
10359785451,"","","","","","","","","","",""
10356775054,"","","","6-25 mg","","","","","","",""
10351077835,"","","","6-25 mg","","","","","","",""
10340437345,"","","","","","","","","","",""
10340102889,"","","","5 mg or less","","","","","","",""
10339036137,"","","","5 mg or less","","","","","","",""
10338442514,"","","","101 - 200 mg","","","","","","",""
10338441893,"","","","26 - 50 mg","","","","","","",""
10337906655,"","","","26 - 50 mg","","","","","","",""
10335783703,"","","","","","","","","","",""
10332551377,"","","","51 - 100 mg","","","","","","",""
10330190159,"","","","5 mg or less","","","","","","",""
10318021604,"","","","","","","","","","",""
10300758304,"","","","101 - 200 mg","","","","","","",""
10300130942,"","","","201 - 500 mg","","","","","","",""
10241028492,"","","","6-25 mg","","","","","","",""
10238390086,"","","","6-25 mg","","","","","","",""
10238232961,"","","","5 mg or less","","","","","","",""
10236170245,"","","","","","","","","","",""
10225303971,"","","","5 mg or less","","","","","","",""
10225277102,"","","","51 - 100 mg","","","","","","",""
10208039150,"","","","","","","","","","",""
10206158915,"","","","101 - 200 mg","","","","","","",""
10204019952,"","","","","","","","","","",""
10193047314,"","","","101 - 200 mg","","","","","","6-25 mg",""
10192314833,"","","","","","","","","","",""
