"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  16"
"response","count","percent_responded"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","7","43.75"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","7","43.75"
"Anti-inflammatories","6","37.5"
"Other (please specify)","6","37.5"
"Statins (e.g. Lipitor, Crestor)","5","31.25"
"Beta Blockers","3","18.75"
"I don’t take any prescription medications","3","18.75"
"Insulin","3","18.75"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","3","18.75"
"Antihypertensives","2","12.5"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","2","12.5"
"Muscle relaxants","1","6.25"
"Steroids, including steroid creams","1","6.25"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","1","6.25"
