"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  266  avg =  104.455"
"response","count","percent_responded"
"0","145","54.51"
"400","11","4.14"
"10","10","3.76"
"20","10","3.76"
"30","9","3.38"
"150","8","3.01"
"300","7","2.63"
"50","7","2.63"
"500","7","2.63"
"40","5","1.88"
"600","5","1.88"
"100","3","1.13"
"200","3","1.13"
"60","3","1.13"
"1","2","0.75"
"1000","2","0.75"
"25","2","0.75"
"350","2","0.75"
"45","2","0.75"
"7","2","0.75"
"700","2","0.75"
"8","2","0.75"
"800","2","0.75"
"9","2","0.75"
"1200","1","0.38"
"1400","1","0.38"
"1500","1","0.38"
"24","1","0.38"
"250","1","0.38"
"28","1","0.38"
"3","1","0.38"
"35","1","0.38"
"44","1","0.38"
"440","1","0.38"
"450","1","0.38"
"46","1","0.38"
"75","1","0.38"
