"q56","What is your favorite cannabis strain?","n =  266"
"response","count","percent_responded"
"N/A","7","2.89"
"None","7","2.89"
"Blue dream","4","1.65"
"Blue Dream","4","1.65"
"Na","4","1.65"
"AC/DC","3","1.24"
"GDP","3","1.24"
"Sativa","3","1.24"
"Unknown","3","1.24"
"Bluedream","2","0.83"
"Gelato","2","0.83"
"GG#4","2","0.83"
"GG4","2","0.83"
"Girl scout cookies","2","0.83"
"Gorilla Glue","2","0.83"
"Grand Daddy Purple","2","0.83"
"Green Crack","2","0.83"
"Honey Bananas","2","0.83"
"Jack Herer","2","0.83"
"Katsu Kush","2","0.83"
"Mango Kush","2","0.83"
"Master Kush","2","0.83"
"n/a","2","0.83"
"Northern lights","2","0.83"
"Og Kush","2","0.83"
"Sour diesel ","2","0.83"
"Tangie","2","0.83"
"1","1","0.41"
"1:01","1","0.41"
"50/50","1","0.41"
"9lb hammer","1","0.41"
"9lb Hammer","1","0.41"
"Afghan Skunk","1","0.41"
"Afghani Goo","1","0.41"
"AK-47","1","0.41"
"Ak 47","1","0.41"
"ATF","1","0.41"
"Banana ","1","0.41"
"Banana Cake","1","0.41"
"Big Buddha cheese ","1","0.41"
"Billy Kimber OG","1","0.41"
"Biodiesel ","1","0.41"
"Blackberry kush","1","0.41"
"Blissful wizard ","1","0.41"
"Bluberry Pancake","1","0.41"
"Blue Dream ","1","0.41"
"Blue Dreams","1","0.41"
"Blue Mountain Durban","1","0.41"
"Blueberry","1","0.41"
"Blueberry Yum Yum","1","0.41"
"Bootylicious","1","0.41"
"Bordello","1","0.41"
"Buddas Sister","1","0.41"
"Cali OG","1","0.41"
"Candyland ","1","0.41"
"cannatonic","1","0.41"
"Cataract Kush","1","0.41"
"CBD God","1","0.41"
"Charlotte web","1","0.41"
"charlottes web","1","0.41"
"Charlottes Web ","1","0.41"
"Cheesquake","1","0.41"
"Chem","1","0.41"
"Chem Dawg 4","1","0.41"
"Chem OG","1","0.41"
"Cherry cream pie ","1","0.41"
"Cherry Mom","1","0.41"
"Cherry pie","1","0.41"
"Chocolate Thai","1","0.41"
"Chocolope ","1","0.41"
"combat cookie","1","0.41"
"Combat cookie ","1","0.41"
"Critical mass","1","0.41"
"D/K","1","0.41"
"Dakini Kush","1","0.41"
"Diablo fuego","1","0.41"
"Don't use now","1","0.41"
"Don’t know","1","0.41"
"Don’t know ","1","0.41"
"Four Lights ","1","0.41"
"GG #4 , Blue Dream","1","0.41"
"Girl Scout cookie","1","0.41"
"Girl Scout cookie ","1","0.41"
"Girl Scout cookies","1","0.41"
"Golden Goat","1","0.41"
"Gorilla Cookies","1","0.41"
"Gorilla Glue #4","1","0.41"
"Gorilla glue 5","1","0.41"
"Gorrila glue","1","0.41"
"Grandaddy Purp","1","0.41"
"Grandaddy Purple","1","0.41"
"Grape Ape","1","0.41"
"Grape God","1","0.41"
"Harlequin","1","0.41"
"Harlequin ","1","0.41"
"Have not tried all","1","0.41"
"Haze ","1","0.41"
"Headband","1","0.41"
"high thc","1","0.41"
"Hollywood","1","0.41"
"Huckleberry Kush ","1","0.41"
"I don't have one","1","0.41"
"I don't know","1","0.41"
"I don't really have a preference","1","0.41"
"I don’t know ","1","0.41"
"Idk","1","0.41"
"Indica","1","0.41"
"Jack herer ","1","0.41"
"Jack herrer","1","0.41"
"Jack Herrer","1","0.41"
"Jack Herrer ","1","0.41"
"King Loius ","1","0.41"
"King Tutankhamon","1","0.41"
"Kush","1","0.41"
"La Confidential","1","0.41"
"Larry Byrd aka Gelato #33","1","0.41"
"Lavender","1","0.41"
"Legends ultimate indica","1","0.41"
"Lemon Gelato","1","0.41"
"Lemon haze","1","0.41"
"lemon ice","1","0.41"
"Lemon Jeffrey","1","0.41"
"Lemon jeffrt","1","0.41"
"Lemon Miringue","1","0.41"
"Lemon Skunk","1","0.41"
"Louis XIV","1","0.41"
"Lsd","1","0.41"
"M47","1","0.41"
"Medical glue","1","0.41"
"Member Berry","1","0.41"
"Mimosa","1","0.41"
"MOB","1","0.41"
"Moonshine Haze","1","0.41"
"mountain Duex","1","0.41"
"Mowi wowi","1","0.41"
"Mystery machine ","1","0.41"
"n/A","1","0.41"
"N/a","1","0.41"
"na","1","0.41"
"Na ","1","0.41"
"No true preference","1","0.41"
"Nome","1","0.41"
"Northern Lights","1","0.41"
"Northern Lights ","1","0.41"
"not sure","1","0.41"
"Not that important if you know what to look for","1","0.41"
"OG","1","0.41"
"Ol' Mendo Hashplant","1","0.41"
"Orange Chemeleon","1","0.41"
"Orange Guava","1","0.41"
"Peach puree","1","0.41"
"Peanut butter breath ","1","0.41"
"Phantom mile","1","0.41"
"Pineapple Express","1","0.41"
"Platinum Garlic ","1","0.41"
"Popcorn","1","0.41"
"Purple kush","1","0.41"
"Purple Kush","1","0.41"
"Purple Punch ","1","0.41"
"Purple urkel","1","0.41"
"Purple urkle","1","0.41"
"Purplepunch","1","0.41"
"Ray Charles","1","0.41"
"Ricks pupil","1","0.41"
"Rockstar ","1","0.41"
"Rozay","1","0.41"
"Sherbet sunset ","1","0.41"
"Sky walker ","1","0.41"
"Sky walker OG","1","0.41"
"Skywalker","1","0.41"
"Skywalker OG","1","0.41"
"Snoops dream","1","0.41"
"Sour deisel","1","0.41"
"Sour diesel","1","0.41"
"Sour Diesel","1","0.41"
"Sour Pineapple ","1","0.41"
"Sour tangie ","1","0.41"
"Sour tsunami, and Harley Quinn ","1","0.41"
"space candy","1","0.41"
"Strawberry cough","1","0.41"
"Super lemon haze","1","0.41"
"Super Lemon Haze","1","0.41"
"Super silver haze","1","0.41"
"Swamp Thing","1","0.41"
"test","1","0.41"
"Texada","1","0.41"
"Train Wreck","1","0.41"
"Trainwreck","1","0.41"
"Tropicanna","1","0.41"
"Unk","1","0.41"
"Unknown ","1","0.41"
"Vanilla kush","1","0.41"
"Wappa CBD ","1","0.41"
"way to many to list, I got 10 on deck right now","1","0.41"
"White widow ","1","0.41"
