"q74","What was the highest pay grade/rank achieved at the time of formal discharge?","n =  266"
"response","count","percent_responded"
"E5","43","16.17"
"E4","41","15.41"
"E-4","24","9.02"
"E-5","18","6.77"
"E3","13","4.89"
"E6","11","4.14"
"E-3","9","3.38"
"E-6","9","3.38"
"E-2","3","1.13"
"e4","3","1.13"
"e5","3","1.13"
"Specialist","3","1.13"
"Cpl","2","0.75"
"E-6/SSG","2","0.75"
"E-8","2","0.75"
"E1","2","0.75"
"E2","2","0.75"
"E6/SSG","2","0.75"
"E7","2","0.75"
"E7/SFC ","2","0.75"
"E8","2","0.75"
"Lcpl","2","0.75"
"Sargent","2","0.75"
"SGT","2","0.75"
"Spc","2","0.75"
"0-4","1","0.38"
"1LT","1","0.38"
"1SG","1","0.38"
"Captain","1","0.38"
"Cheif","1","0.38"
"Corporal","1","0.38"
"CW3","1","0.38"
"CW3 W3","1","0.38"
"E-0","1","0.38"
"E-2/PFC","1","0.38"
"e-4/mm3","1","0.38"
"E-4/SPC","1","0.38"
"e-5","1","0.38"
"E-5 ","1","0.38"
"E-5 sergeant ","1","0.38"
"E-5 SGT","1","0.38"
"E-5/Sergeant","1","0.38"
"E-5/SGT","1","0.38"
"E-6 staff Sargent ","1","0.38"
"E-6/Technical Sergeant","1","0.38"
"E-7","1","0.38"
"E-7 SFC","1","0.38"
"E-8/First Sergeant","1","0.38"
"e3","1","0.38"
"E4 spc","1","0.38"
"E4 specialist/corporal","1","0.38"
"E4/Specialist","1","0.38"
"E5/SGT","1","0.38"
"First Sergeant/E8","1","0.38"
"Ha ha","1","0.38"
"Lt","1","0.38"
"MSG","1","0.38"
"MSgt/E-7","1","0.38"
"N/a","1","0.38"
"N/A","1","0.38"
"Nco","1","0.38"
"none","1","0.38"
"O-3","1","0.38"
"O-5/Lt Col","1","0.38"
"O3","1","0.38"
"O3-E","1","0.38"
"PFC","1","0.38"
"S7","1","0.38"
"Sergeant","1","0.38"
"Sergeant E5","1","0.38"
"Sergeant/ E-5","1","0.38"
"sgt","1","0.38"
"SGT E5","1","0.38"
"spc","1","0.38"
"Spc4, I was offered chief by Pompey and I threatened him and that fat fuck had me pickled, I gonna kill him Mike Pompeo he's got my hat too that we argued over.","1","0.38"
"Specialist ","1","0.38"
"Ssg","1","0.38"
"SSG/E-6","1","0.38"
"SSG/E6","1","0.38"
"Ssgt ","1","0.38"
"SSgt ","1","0.38"
"Staff sergeant ","1","0.38"
"test","1","0.38"
"TSgt","1","0.38"
"Unkown","1","0.38"
