"q53","On average, how much do you spend (in US dollars) on consumable cannabis products per week?","n =  299  avg =  75.605"
"response","count","percent_responded"
"50","56","18.73"
"100","28","9.36"
"0","26","8.7"
"20","18","6.02"
"25","18","6.02"
"60","16","5.35"
"10","14","4.68"
"40","14","4.68"
"75","12","4.01"
"150","11","3.68"
"30","10","3.34"
"200","8","2.68"
"35","8","2.68"
"300","6","2.01"
"80","6","2.01"
"15","5","1.67"
"250","5","1.67"
"5","4","1.34"
"45","3","1"
"500","3","1"
"1","2","0.67"
"125","2","0.67"
"160","2","0.67"
"175","2","0.67"
"65","2","0.67"
"70","2","0.67"
"8","2","0.67"
"12","1","0.33"
"120","1","0.33"
"135","1","0.33"
"24","1","0.33"
"3","1","0.33"
"33","1","0.33"
"360","1","0.33"
"400","1","0.33"
"55","1","0.33"
"6","1","0.33"
"600","1","0.33"
"700","1","0.33"
"800","1","0.33"
"90","1","0.33"
