"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  299  avg =  72.488"
"response","count","percent_responded"
"100","158","52.84"
"0","37","12.37"
"99","11","3.68"
"1","8","2.68"
"50","7","2.34"
"75","6","2.01"
"97","6","2.01"
"98","6","2.01"
"96","5","1.67"
"4","4","1.34"
"90","4","1.34"
"10","3","1"
"80","3","1"
"17","2","0.67"
"2","2","0.67"
"25","2","0.67"
"3","2","0.67"
"30","2","0.67"
"6","2","0.67"
"65","2","0.67"
"85","2","0.67"
"9","2","0.67"
"95","2","0.67"
"12","1","0.33"
"15","1","0.33"
"18","1","0.33"
"19","1","0.33"
"23","1","0.33"
"26","1","0.33"
"33","1","0.33"
"36","1","0.33"
"37","1","0.33"
"42","1","0.33"
"49","1","0.33"
"51","1","0.33"
"52","1","0.33"
"61","1","0.33"
"7","1","0.33"
"81","1","0.33"
"84","1","0.33"
"87","1","0.33"
"89","1","0.33"
"91","1","0.33"
"94","1","0.33"
