"q13","Where are the locations of your pain (please check all that apply)","n =  93"
"response","count","percent_responded"
"Lower back","80","86.02"
"General joint pain","51","54.84"
"Knee","50","53.76"
"Neck","50","53.76"
"Shoulder","48","51.61"
"Leg","47","50.54"
"Hips","46","49.46"
"Upper back","40","43.01"
"Foot","35","37.63"
"Generalized muscle pain","34","36.56"
"Hand","33","35.48"
"Wrist","31","33.33"
"Arm","27","29.03"
"Head/headache","27","29.03"
"Full body","20","21.51"
"Buttocks","19","20.43"
"Abdomen","15","16.13"
"Mouth/dental pain","13","13.98"
"Stomach","10","10.75"
"Chest","7","7.53"
"Other (please specify)","6","6.45"
"Rectum","4","4.3"
"Face","3","3.23"
"Genitalia","3","3.23"
