"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  293"
"response","count","percent_responded"
"Dry mouth","211","72.01"
"Changes in appetite","110","37.54"
"Increased energy","109","37.2"
"More or less talkative","106","36.18"
"Sleepiness/fatigue","76","25.94"
"Changes in libido","44","15.02"
"Memory problems","37","12.63"
"Feeling of being ""altered""","32","10.92"
"Other (please specify)","31","10.58"
"Difficulty concentrating","26","8.87"
"Paranoia","26","8.87"
"Heart racing/palpitations","20","6.83"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","20","6.83"
"Racing thoughts","20","6.83"
"Tough to get started in the morning (lassitude) or ""couch lock""","20","6.83"
"Apathy","10","3.41"
"Dizziness","10","3.41"
"Sweating","10","3.41"
"Nausea","8","2.73"
"Anxiety","7","2.39"
"Headache","7","2.39"
"Depression","2","0.68"
"GI changes (constipation, diarrhea, abdominal discomfort)","2","0.68"
