"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  293"
"response","count","percent_responded"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","99","33.79"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","83","28.33"
"I have reduced my prescription medication use in the past","66","22.53"
"I don’t take any medications","61","20.82"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","51","17.41"
"Muscle relaxants","50","17.06"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","45","15.36"
"Anti-inflammatories","43","14.68"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","37","12.63"
"I'm not trying to reduce any medication use","32","10.92"
"Other (please specify)","19","6.48"
"Sedatives/hypnotics","15","5.12"
"Steroids, including steroid creams","15","5.12"
"Statins (e.g. Lipitor, Crestor)","12","4.1"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","12","4.1"
"Antimigraine","10","3.41"
"Antipsychotics (e.g. Abilify, Seroquel)","10","3.41"
"Beta Blockers","9","3.07"
"Antihypertensives","7","2.39"
"Barbiturates (e.g. Floricet)","7","2.39"
"Proton pump inhibitors","4","1.37"
"Hormone replacement therapy (HRT)","3","1.02"
"Antiemetics","2","0.68"
"Insulin","1","0.34"
