"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11250741921,"4-6 grams","2-3 grams","","","1  gram"
11250528880,"1/4 gram or less","","","","1/2 gram"
11250243595,"2-3 grams","","","",""
11249989922,"","","","","1  gram"
11249911719,"4-6 grams","","","",""
11249491628,"","","","",""
11241395977,"2-3 grams","","","",""
11239041530,"2-3 grams","","","","1  gram"
11238685800,"1  gram","","","","1/4 gram or less"
11238671751,"2-3 grams","","","","1/2 gram"
11238558967,"15 grams to 1 ounce (~28 grams)","","","","2-3 grams"
11238077963,"1/4 gram or less","","","",""
11236750096,"","","","",""
11232533197,"4-6 grams","","","",""
11231679765,"","","","",""
11226611149,"","","","",""
11222559871,"1  gram","","","",""
11221636373,"4-6 grams","","","","I don't know how much I use per week"
11215609540,"4-6 grams","","","","None"
11215559561,"1/4 gram or less","","","","1  gram"
11212784708,"15 grams to 1 ounce (~28 grams)","","","",""
11212618775,"1  gram","","","",""
11211717848,"","","","","1  gram"
11208627585,"8 grams to 1/2 ounce (~14 grams)","15 grams to 1 ounce (~28 grams)","","","More than 1 ounce"
11179999382,"1  gram","","","",""
11166893092,"1/4 gram or less","","","","4-6 grams"
11166535497,"2-3 grams","1/4 gram or less","","","1/2 gram"
11164232720,"8 grams to 1/2 ounce (~14 grams)","","","",""
11156698544,"8 grams to 1/2 ounce (~14 grams)","","","",""
11156548224,"1/4 ounce (~7 grams)","","","","1/2 gram"
11149744263,"","","","",""
11142252658,"","","","",""
11141027225,"8 grams to 1/2 ounce (~14 grams)","","","",""
11138930846,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
11138361963,"1/4 ounce (~7 grams)","","","","1  gram"
11137652132,"","","","",""
11137625236,"8 grams to 1/2 ounce (~14 grams)","","","",""
11137541759,"2-3 grams","","","",""
11136832253,"","","","",""
11135889511,"1/4 gram or less","","","",""
11135778856,"1/2 gram","","","",""
11135570279,"15 grams to 1 ounce (~28 grams)","","","","1  gram"
11135476295,"","More than 1 ounce","","","1/2 gram"
11135466512,"2-3 grams","","","","1/4 gram or less"
11135411524,"1  gram","","","",""
11135380294,"","","","",""
11135136344,"","","","",""
11135054998,"2-3 grams","","","",""
11134932854,"4-6 grams","","","",""
11134769709,"","I don't know how much I use per week","","",""
11134708109,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
11134698105,"","","","",""
11134647286,"4-6 grams","","","",""
11134549629,"","2-3 grams","","",""
11134530007,"","1/4 ounce (~7 grams)","","",""
11134504342,"2-3 grams","","","",""
11134443636,"1/4 gram or less","","","",""
11131514317,"2-3 grams","","","","1/4 gram or less"
11129003813,"15 grams to 1 ounce (~28 grams)","","","",""
11102541656,"","","","",""
