"q98","What state in the US do you currently live in?","n =  278"
"response","count","percent_responded"
"Massachusetts","91","32.73"
"California","26","9.35"
"Florida","21","7.55"
"Colorado","8","2.88"
"Ohio","8","2.88"
"Tennessee","8","2.88"
"Oklahoma","7","2.52"
"Virginia","7","2.52"
"Arizona","6","2.16"
"Georgia","6","2.16"
"Texas","6","2.16"
"Maine","5","1.8"
"North Carolina","5","1.8"
"Illinois","4","1.44"
"Indiana","4","1.44"
"Louisiana","4","1.44"
"New York","4","1.44"
"Oregon","4","1.44"
"Pennsylvania","4","1.44"
"South Carolina","4","1.44"
"Washington","4","1.44"
"Alabama","3","1.08"
"Alaska","3","1.08"
"Arkansas","3","1.08"
"New Hampshire","3","1.08"
"New Mexico","3","1.08"
"Utah","3","1.08"
"West Virginia","3","1.08"
"Connecticut","2","0.72"
"Hawaii","2","0.72"
"Kentucky","2","0.72"
"Maryland","2","0.72"
"Michigan","2","0.72"
"Delaware","1","0.36"
"Kansas","1","0.36"
"Minnesota","1","0.36"
"Mississippi","1","0.36"
"Missouri","1","0.36"
"Montana","1","0.36"
"Nebraska","1","0.36"
"Nevada","1","0.36"
"North Dakota","1","0.36"
"Other (please specify)","1","0.36"
"Puerto Rico","1","0.36"
