"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  320"
"response","count","percent_responded"
"Dry mouth","228","71.25"
"Changes in appetite","120","37.5"
"More or less talkative","115","35.94"
"Increased energy","113","35.31"
"Sleepiness/fatigue","94","29.38"
"Changes in libido","43","13.44"
"Memory problems","40","12.5"
"Feeling of being ""altered""","35","10.94"
"Other (please specify)","29","9.06"
"Difficulty concentrating","27","8.44"
"Paranoia","26","8.12"
"Heart racing/palpitations","20","6.25"
"Racing thoughts","19","5.94"
"Tough to get started in the morning (lassitude) or ""couch lock""","18","5.62"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","17","5.31"
"Apathy","13","4.06"
"Dizziness","10","3.12"
"Sweating","8","2.5"
"Headache","7","2.19"
"Nausea","6","1.88"
"Anxiety","5","1.56"
"Depression","3","0.94"
"GI changes (constipation, diarrhea, abdominal discomfort)","3","0.94"
