"q57","What product(s) and/or strain(s) do you want that are not currently available in your local dispensaries?","n =  320"
"response","count","percent_responded"
"N/A","22","6.88"
"None","17","5.31"
"none","13","4.06"
"n/a","11","3.44"
"Na","9","2.81"
"Not sure","8","2.5"
"All","7","2.19"
NA,"6","1.88"
"N/a","5","1.56"
"Unknown","5","1.56"
"Edibles","4","1.25"
"?","3","0.94"
"0","3","0.94"
"Flower","3","0.94"
"I don't know","3","0.94"
"Na ","3","0.94"
"All of them","2","0.62"
"All of them ","2","0.62"
"Blue dream","2","0.62"
"Don’t know","2","0.62"
"None ","2","0.62"
"not sure","2","0.62"
"unknown","2","0.62"
"Unknown ","2","0.62"
" not sure","1","0.31"
"?The one they DONT have!!","1","0.31"
"A 10%/10% blend of THC/CBD tested by chemists and recommended by a real doctor.","1","0.31"
"AC/DC (only for medical patients, since I use VA only, I can’t get the high CBD products for medical patients, so I use 1:1, which is still too high in THC","1","0.31"
"Ac/dc, cannatonic","1","0.31"
"affordable products","1","0.31"
"ALL","1","0.31"
"all low anlexty strains","1","0.31"
"all pax era pods","1","0.31"
"All the ones recommended for PTSD","1","0.31"
"All.... I don't have a local dispensary","1","0.31"
"Alot","1","0.31"
"Anxiety, depression, headache and pain relief ","1","0.31"
"ANY","1","0.31"
"Any ","1","0.31"
"Anything that is marijuana instead of hemp ","1","0.31"
"Banana kush","1","0.31"
"banana kush flower","1","0.31"
"Better flower","1","0.31"
"better prices like Maine","1","0.31"
"BioChem","1","0.31"
"Blueberry stavia","1","0.31"
"Can't use them to costly","1","0.31"
"Candy Kush","1","0.31"
"Cannabutter","1","0.31"
"Cannagars","1","0.31"
"Capsules, and stronger edibles","1","0.31"
"Cartridges and edibles","1","0.31"
"cartriges","1","0.31"
"Cataract Kush, Night Terror OG ","1","0.31"
"Cbd","1","0.31"
"CBD candy","1","0.31"
"CBD:THC of 4:1","1","0.31"
"CHRONIC","1","0.31"
"Concentrates","1","0.31"
"Concentrates - CBD","1","0.31"
"Consistent strains ","1","0.31"
"Critical Kush","1","0.31"
"CT dispensaries and overall program needs reform.","1","0.31"
"Definitely fruitier flavors","1","0.31"
"Devil’s Cookies","1","0.31"
"diamonds","1","0.31"
"Dips and pouches, hemp derived CBD, seeds, diamonds (concentrate), Bloody skunk (Flower strain), full melt, Bubble hash, hash rosin","1","0.31"
"don't know","1","0.31"
"Don't know","1","0.31"
"Don’t know ","1","0.31"
"Dont know","1","0.31"
"dr grinspoon","1","0.31"
"drinks","1","0.31"
"Drinks","1","0.31"
"Dude, where's my bike?","1","0.31"
"durban poison","1","0.31"
"Durban Poison flower","1","0.31"
"edibles","1","0.31"
"Edibles ","1","0.31"
"Everything.  No longer live near dispensaries.","1","0.31"
"FECO/ RSO","1","0.31"
"Flavored vape cart","1","0.31"
"flower","1","0.31"
"Flower and edibles","1","0.31"
"Flower. Illinois dispensaries have a shortage ","1","0.31"
"Food edibles","1","0.31"
"FrankenPuna ","1","0.31"
"Garrila glue","1","0.31"
"Gelato, Katsu Kush.  More pure indica strains, less hybrids.","1","0.31"
"Ghost train Haze ","1","0.31"
"Good reliable edibles","1","0.31"
"Grandpa Larry","1","0.31"
"Grow my own and edibles","1","0.31"
"Guava IX","1","0.31"
"Harlequin ","1","0.31"
"Harleyquinn","1","0.31"
"Hash","1","0.31"
"Hash oils","1","0.31"
"Hawaian Fresian Duck","1","0.31"
"Hawaiian ","1","0.31"
"Hawaiian or Sensamellian","1","0.31"
"Hemlock","1","0.31"
"High cbd ","1","0.31"
"High cod/thc  content edibles (1000mg) or more","1","0.31"
"High energy strains","1","0.31"
"high terpene profiles","1","0.31"
"High thc Edibles ","1","0.31"
"High THC strains over 30% and heavily colored strains like purples and reds","1","0.31"
"Higher dose capsules","1","0.31"
"HTFSE","1","0.31"
"i d k","1","0.31"
"I don't have legal access to cannabis","1","0.31"
"I don't knoe","1","0.31"
"I don’t go out in public much don’t know","1","0.31"
"I enjoy the selection of the dispensaries within my area. ","1","0.31"
"idk","1","0.31"
"Idk","1","0.31"
"Indica cream","1","0.31"
"Isn’t legal for medical use in my state ","1","0.31"
"Jack herer","1","0.31"
"Jack Herrer, Skywalker, purple train wreck","1","0.31"
"Just keep them coming","1","0.31"
"King Louis, more indica, more CBN, CBG, and terpene profiles","1","0.31"
"Kosher Kush","1","0.31"
"Lambs breath, landrace strains","1","0.31"
"Lemon Jefferey","1","0.31"
"like to have a 1:1 Thc:Cbd which is often not available","1","0.31"
"Live resin, diamonds, sauce, sugar","1","0.31"
"Local Dispensaries lol","1","0.31"
"Lotions","1","0.31"
"lower cost","1","0.31"
"Lower powered/cheaper flower so I can consume it more regularly","1","0.31"
"Many of them, so I grow my own","1","0.31"
"Maui waui","1","0.31"
"Moon rocks","1","0.31"
"More 1:1 or 2:1 thc:cbd ratio","1","0.31"
"more balanced CBD/THC products","1","0.31"
"More concentrate selection","1","0.31"
"More edible variety","1","0.31"
"More edibles","1","0.31"
"More flower of any strain to cook with","1","0.31"
"more INDICA with lower THC,i need sleep","1","0.31"
"more indicas","1","0.31"
"More options altogether. Usually only 2 or 3 options at a time. ","1","0.31"
"More pain relieving yet clear headed strains","1","0.31"
"More vape choices","1","0.31"
"more varety of flower,pre-rolls vapor","1","0.31"
"More variable cannabinoid ratios","1","0.31"
"More variety edibles ","1","0.31"
"Most","1","0.31"
"N/A I live in an illegal state. ","1","0.31"
"na","1","0.31"
"No answer","1","0.31"
"Non","1","0.31"
"None are available in Louisiana","1","0.31"
"None available in my state","1","0.31"
"Nope ","1","0.31"
"Northern Lights","1","0.31"
"Not applicable","1","0.31"
"Not sure ","1","0.31"
"Nothing is availible","1","0.31"
"old school schwag","1","0.31"
"Pennywise","1","0.31"
"Pineapple Express, Skywalker OG","1","0.31"
"Powdered drink mix packets for water","1","0.31"
"purple Dutchberry by artizen","1","0.31"
"Purple Haze","1","0.31"
"Reasonably priced medicine","1","0.31"
"Release cartridge by Fairwinds (designed for PTSD/anxiety)","1","0.31"
"Rockstar, THC 32%, CBD 13%","1","0.31"
"RSO","1","0.31"
"Sativa ","1","0.31"
"Sayivas","1","0.31"
"Sfv Kush, Mendo Breathe and Durban Poison for daytime","1","0.31"
"Sinmint Cookies","1","0.31"
"Skywalker","1","0.31"
"Skywalker ","1","0.31"
"Smokable flower","1","0.31"
"Sour diesel, white widow, amnesia haze","1","0.31"
"stativa","1","0.31"
"Still learning on a App, called weed maps ","1","0.31"
"Strain specific vape carts","1","0.31"
"Strains are very limited where I live","1","0.31"
"strains, including high CBD, more available strains","1","0.31"
"Tahoe OG Kush   Suppositories   Patches","1","0.31"
"terpene  rich strains","1","0.31"
"test","1","0.31"
"The dispensary has wonderful products but they are sometimes limited or out of stock.","1","0.31"
"The White","1","0.31"
"Tinctures","1","0.31"
"Unk","1","0.31"
"unkown","1","0.31"
"Unsure","1","0.31"
"Vape cartridge","1","0.31"
"Vape cartridges were recently outlawed in my state, so having to seek elsewhere.","1","0.31"
"Vape Carts","1","0.31"
"Variety of edibles ","1","0.31"
"Vietnamese Gold","1","0.31"
"Wax","1","0.31"
"Wax, Shatter, Rosen, lower costs ","1","0.31"
"Way stronger edibles, please, for the love of God","1","0.31"
"West coast strains","1","0.31"
"where good","1","0.31"
"White Rhino, Girl Scout Cookies, Pineapple Express","1","0.31"
"white widow","1","0.31"
"white widow flower","1","0.31"
