"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11250741921,"4-6 grams","2-3 grams","","","1  gram"
11250528880,"1/4 gram or less","","","","1/2 gram"
11250357688,"I don't know how much I use per week","","","",""
11250243595,"2-3 grams","","","",""
11249989922,"","","","","1  gram"
11249911719,"4-6 grams","","","",""
11249871277,"4-6 grams","","","",""
11249491628,"","","","",""
11248164514,"1/4 ounce (~7 grams)","1/2 gram","","","1/4 gram or less"
11246906361,"","","","",""
11245529294,"4-6 grams","","","",""
11241395977,"2-3 grams","","","",""
11241251752,"4-6 grams","","","",""
11239200945,"","","","",""
11239041530,"2-3 grams","","","","1  gram"
11238774708,"","1/4 gram or less","","","1/2 gram"
11238685800,"1  gram","","","","1/4 gram or less"
11238558967,"15 grams to 1 ounce (~28 grams)","","","","2-3 grams"
11232533197,"4-6 grams","","","",""
11231679765,"","","","",""
11226611149,"","","","",""
11222559871,"1  gram","","","",""
11220644956,"","","","",""
11215609540,"4-6 grams","","","","None"
11215559561,"1/4 gram or less","","","","1  gram"
11211717848,"","","","","1  gram"
11208627585,"8 grams to 1/2 ounce (~14 grams)","15 grams to 1 ounce (~28 grams)","","","More than 1 ounce"
11179999382,"1  gram","","","",""
11170108737,"1/4 ounce (~7 grams)","","","",""
11166997346,"8 grams to 1/2 ounce (~14 grams)","","","",""
11166893092,"1/4 gram or less","","","","4-6 grams"
11164232720,"8 grams to 1/2 ounce (~14 grams)","","","",""
11156698544,"8 grams to 1/2 ounce (~14 grams)","","","",""
11156548224,"1/4 ounce (~7 grams)","","","","1/2 gram"
11148362084,"1/4 gram or less","","","",""
11141027225,"8 grams to 1/2 ounce (~14 grams)","","","",""
11140621270,"2-3 grams","","","",""
11140569970,"","","","",""
11137973158,"2-3 grams","1  gram","","",""
11137664485,"1/4 gram or less","","","",""
11137625236,"8 grams to 1/2 ounce (~14 grams)","","","",""
11137570486,"2-3 grams","","","",""
11137541759,"2-3 grams","","","",""
11136795358,"8 grams to 1/2 ounce (~14 grams)","","","",""
11135889511,"1/4 gram or less","","","",""
11135849827,"","","","",""
11135570279,"15 grams to 1 ounce (~28 grams)","","","","1  gram"
11135476295,"","More than 1 ounce","","","1/2 gram"
11135466512,"2-3 grams","","","","1/4 gram or less"
11135411524,"1  gram","","","",""
11135389919,"","","","","2-3 grams"
11135380294,"","","","",""
11135317065,"1  gram","","","",""
11135122023,"1  gram","","","",""
11135054998,"2-3 grams","","","",""
11135022253,"15 grams to 1 ounce (~28 grams)","8 grams to 1/2 ounce (~14 grams)","","",""
11134932854,"4-6 grams","","","",""
11134769709,"","I don't know how much I use per week","","",""
11134698105,"","","","",""
11134647286,"4-6 grams","","","",""
11134572563,"","","","",""
