"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  320"
"response","count","percent_responded"
"Posttraumatic stress disorder (PTSD)","108","33.75"
"Chronic pain","107","33.44"
"Anxiety","24","7.5"
"Insomnia","18","5.62"
"Depression","16","5"
"Arthritis","7","2.19"
"Bipolar/manic depression","7","2.19"
"Cancer","5","1.56"
"Gastrointestinal/digestive system disorders","4","1.25"
"Cardiovascular disease","3","0.94"
"Diabetes","3","0.94"
"Fibromyalgia/myositis","3","0.94"
"Multiple sclerosis","3","0.94"
"Obesity","3","0.94"
"Substance abuse/addiction","3","0.94"
"Respiratory problems","2","0.62"
"Attention deficit/hyperactivity disorder (ADHD)","1","0.31"
"HIV/AIDS","1","0.31"
"Hypertension","1","0.31"
"Inflammatory bowel disease (IBD)","1","0.31"
