"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  320"
"response","count","percent_responded"
"Sleep/insomnia","320","100"
"Depression/mood","246","76.88"
"Anxiety/panic attacks","211","65.94"
"Pain","198","61.88"
"Attention/concentration","147","45.94"
"Appetite/weight","134","41.88"
"Headache","132","41.25"
"Aggression","128","40"
"Inflammation","102","31.87"
"Spasms","84","26.25"
"Nausea/vomiting","57","17.81"
"Skin conditions","42","13.12"
"Respiratory","27","8.44"
"Ocular pressure","25","7.81"
"Mania/psychosis","17","5.31"
"Other (please specify)","11","3.44"
"Drug withdrawal","9","2.81"
"Seizures","7","2.19"
