"q98","What state in the US do you currently live in?","n =  298"
"response","count","percent_responded"
"Massachusetts","101","33.89"
"Florida","25","8.39"
"California","19","6.38"
"Maine","10","3.36"
"Georgia","8","2.68"
"Ohio","8","2.68"
"Tennessee","8","2.68"
"Washington","8","2.68"
"Arizona","7","2.35"
"Colorado","7","2.35"
"Illinois","6","2.01"
"Maryland","6","2.01"
"New Mexico","6","2.01"
"New York","6","2.01"
"Texas","6","2.01"
"Virginia","6","2.01"
"New Hampshire","5","1.68"
"Oklahoma","5","1.68"
"Oregon","5","1.68"
"Louisiana","4","1.34"
"Arkansas","3","1.01"
"Connecticut","3","1.01"
"Hawaii","3","1.01"
"Indiana","3","1.01"
"Michigan","3","1.01"
"North Carolina","3","1.01"
"South Carolina","3","1.01"
"West Virginia","3","1.01"
"Iowa","2","0.67"
"Kansas","2","0.67"
"Kentucky","2","0.67"
"Other (please specify)","2","0.67"
"Pennsylvania","2","0.67"
"Alaska","1","0.34"
"Delaware","1","0.34"
"Minnesota","1","0.34"
"Missouri","1","0.34"
"Montana","1","0.34"
"Nebraska","1","0.34"
"Nevada","1","0.34"
"New Jersey","1","0.34"
