"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  217"
"response","count","percent_responded"
"Dry mouth","149","68.66"
"Increased energy","86","39.63"
"Changes in appetite","69","31.8"
"More or less talkative","69","31.8"
"Sleepiness/fatigue","47","21.66"
"Other (please specify)","27","12.44"
"Difficulty concentrating","23","10.6"
"Feeling of being ""altered""","21","9.68"
"Changes in libido","20","9.22"
"Memory problems","19","8.76"
"Paranoia","17","7.83"
"Tough to get started in the morning (lassitude) or ""couch lock""","15","6.91"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","13","5.99"
"Heart racing/palpitations","11","5.07"
"Dizziness","10","4.61"
"Racing thoughts","10","4.61"
"Sweating","9","4.15"
"Anxiety","6","2.76"
"GI changes (constipation, diarrhea, abdominal discomfort)","5","2.3"
"Nausea","5","2.3"
"Headache","4","1.84"
"Apathy","2","0.92"
"Depression","2","0.92"
