"q98","What state in the US do you currently live in?","n =  204"
"response","count","percent_responded"
"Massachusetts","75","36.76"
"Florida","17","8.33"
"Maine","11","5.39"
"California","10","4.9"
"Washington","9","4.41"
"Arizona","6","2.94"
"Texas","6","2.94"
"New York","5","2.45"
"Ohio","5","2.45"
"Georgia","4","1.96"
"Indiana","4","1.96"
"Illinois","3","1.47"
"Maryland","3","1.47"
"New Hampshire","3","1.47"
"Oklahoma","3","1.47"
"Oregon","3","1.47"
"Other (please specify)","3","1.47"
"Pennsylvania","3","1.47"
"Alaska","2","0.98"
"Arkansas","2","0.98"
"Colorado","2","0.98"
"Connecticut","2","0.98"
"Hawaii","2","0.98"
"Louisiana","2","0.98"
"Montana","2","0.98"
"Nevada","2","0.98"
"New Mexico","2","0.98"
"North Carolina","2","0.98"
"Tennessee","2","0.98"
"Virginia","2","0.98"
"Iowa","1","0.49"
"Michigan","1","0.49"
"New Jersey","1","0.49"
"North Dakota","1","0.49"
"South Carolina","1","0.49"
"Utah","1","0.49"
"Vermont","1","0.49"
