"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  126"
"response","count","percent_responded"
"Anxiety","86","68.25"
"Chronic pain","80","63.49"
"Depression","60","47.62"
"Posttraumatic stress disorder (PTSD)","57","45.24"
"Insomnia","40","31.75"
"Arthritis","32","25.4"
"Attention deficit/hyperactivity disorder (ADHD)","14","11.11"
"Substance abuse/addiction","12","9.52"
"Gastrointestinal/digestive system disorders","11","8.73"
"Other (please specify)","11","8.73"
"Inflammatory bowel disease (IBD)","9","7.14"
"Bipolar/manic depression","5","3.97"
"Hypertension","5","3.97"
"Allergies","4","3.17"
"Cancer","3","2.38"
"Obesity","3","2.38"
"Diabetes","2","1.59"
"Fibromyalgia/myositis","2","1.59"
"Multiple sclerosis","2","1.59"
"Reflux esophagitis","2","1.59"
"Eczema","1","0.79"
"Respiratory problems","1","0.79"
