"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  105  avg =  16.476"
"response","count","percent_responded"
"0","48","45.71"
"1","4","3.81"
"49","4","3.81"
"50","4","3.81"
"10","3","2.86"
"26","3","2.86"
"6","3","2.86"
"13","2","1.9"
"2","2","1.9"
"23","2","1.9"
"38","2","1.9"
"8","2","1.9"
"100","1","0.95"
"12","1","0.95"
"14","1","0.95"
"17","1","0.95"
"20","1","0.95"
"22","1","0.95"
"24","1","0.95"
"25","1","0.95"
"28","1","0.95"
"29","1","0.95"
"3","1","0.95"
"30","1","0.95"
"33","1","0.95"
"35","1","0.95"
"4","1","0.95"
"43","1","0.95"
"44","1","0.95"
"55","1","0.95"
"57","1","0.95"
"60","1","0.95"
"64","1","0.95"
"65","1","0.95"
"7","1","0.95"
"76","1","0.95"
"78","1","0.95"
"91","1","0.95"
