"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  105"
"response","count","percent_responded"
"Smoke flower","85","80.95"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","63","60"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","56","53.33"
"Vape cartridges","47","44.76"
"Tinctures","40","38.1"
"Salves/topicals","33","31.43"
"Vape flower","30","28.57"
"Capsules","20","19.05"
"Suppositories","9","8.57"
"Transdermal patches","8","7.62"
"Other (please specify)","2","1.9"
