"q56","What is your favorite cannabis strain?","n =  105"
"response","count","percent_responded"
"GG#4","2","2"
"Master Kush","2","2"
"None","2","2"
"Sour Diesel","2","2"
"1:01","1","1"
"Ak 47","1","1"
"ak47","1","1"
"Alaska thunder f””k","1","1"
"Amnesia Haze","1","1"
"any","1","1"
"Appetite inducing","1","1"
"ATF","1","1"
"Banana Cake","1","1"
"Big bud","1","1"
"Black Widow","1","1"
"Blackberry kush","1","1"
"Blissful wizard ","1","1"
"Blue dream","1","1"
"Blue Dream ","1","1"
"Blue Mountain Durban","1","1"
"blueberry cheesecake","1","1"
"Bluedream","1","1"
"Candyland ","1","1"
"cannatonic","1","1"
"Cape Cod Kush","1","1"
"Chem","1","1"
"Chem Dawg","1","1"
"Cherry Mom","1","1"
"Chocolope ","1","1"
"Church","1","1"
"Combat cookie ","1","1"
"cotton candy","1","1"
"Cotton Candy","1","1"
"Critical mass","1","1"
"Gelato","1","1"
"Girl Scout Cookie","1","1"
"Girl scout cookies","1","1"
"Girl Scout cookies","1","1"
"girl scout cookies/og kush","1","1"
"Golden Goat","1","1"
"Good","1","1"
"Gorilla glue","1","1"
"Gorilla Glue #4","1","1"
"Gorilla Glue 4","1","1"
"Grand Daddy Purple","1","1"
"Grand Daddy Purple, white widow, Durban Poison, Strawberry Cough","1","1"
"Grandady purple","1","1"
"Harlequin","1","1"
"haze","1","1"
"Haze ","1","1"
"Headband","1","1"
"Heruana","1","1"
"holy grail","1","1"
"Huckleberry Kush ","1","1"
"Indica","1","1"
"Jack","1","1"
"Jack Herer","1","1"
"Jack herer ","1","1"
"Jack Herrer ","1","1"
"Kush","1","1"
"La Confidential","1","1"
"LA CONFIDENTIAL","1","1"
"Legends ultimate indica","1","1"
"Lemon haze","1","1"
"Lsd","1","1"
"Mango Kush","1","1"
"Medical glue","1","1"
"MOB","1","1"
"mountain Duex","1","1"
"Mowi wowi","1","1"
"N/A","1","1"
"na","1","1"
"Na","1","1"
"Night nurse ","1","1"
"Og Kush","1","1"
"OG Kush","1","1"
"Orange Guava","1","1"
"Peanut butter breath ","1","1"
"Pineapple Express","1","1"
"Platinum Garlic ","1","1"
"Purple kush","1","1"
"Purple Kush","1","1"
"Purple Punch ","1","1"
"Ricks pupil","1","1"
"Silver Kush","1","1"
"Skywalker OG","1","1"
"Still searching","1","1"
"strawberry cough","1","1"
"Strawberry cough","1","1"
"Tangerine Dream ","1","1"
"Unknown","1","1"
"UW Purps","1","1"
"Wedding crasher","1","1"
"White Widow","1","1"
"White widow ","1","1"
"Willies Reserve","1","1"
