"q67","Which VA do you go to?","n =  103"
"response","count","percent_responded"
"None","4","3.88"
"none","3","2.91"
"Providence ","3","2.91"
"Boston","2","1.94"
"Brockton MA","2","1.94"
"N/a","2","1.94"
"Togus","2","1.94"
"Washington","2","1.94"
"Worcester","2","1.94"
" Brockton Massachusetts","1","0.97"
"A","1","0.97"
"Albuquerque ","1","0.97"
"All mass clinics","1","0.97"
"American Lake","1","0.97"
"Anne Arbor","1","0.97"
"Augusta","1","0.97"
"Bedford","1","0.97"
"bedford , ma","1","0.97"
"Bedford VA Hospital ","1","0.97"
"BOHC","1","0.97"
"Brockton, J.P. , W. Roxbury","1","0.97"
"Brockton, JP , west roxbury","1","0.97"
"Brockton. Massachusetts","1","0.97"
"Burlington vermont","1","0.97"
"Central Western MA","1","0.97"
"Corpus Christi, Texas ","1","0.97"
"do not go to va","1","0.97"
"Do not go to va","1","0.97"
"do not use va","1","0.97"
"don't","1","0.97"
"Fitchburg","1","0.97"
"Fitchburg ","1","0.97"
"Fredericksburg ","1","0.97"
"Fresno, CA","1","0.97"
"Ft Worth,  tx","1","0.97"
"Ha ha","1","0.97"
"Hilo Hawaii ","1","0.97"
"Houston ","1","0.97"
"Hyannis","1","0.97"
"i don't","1","0.97"
"I dont","1","0.97"
"Jamaica plains","1","0.97"
"Jamaica plian","1","0.97"
"Jefferson barracks ","1","0.97"
"Juneau He does not approve","1","0.97"
"Leeds","1","0.97"
"Leeds ","1","0.97"
"Leeds Massachusetts ","1","0.97"
"Loma linda","1","0.97"
"Manchester","1","0.97"
"mt. vernon wa.","1","0.97"
"n/a","1","0.97"
"Nevada","1","0.97"
"Never been","1","0.97"
"Nine","1","0.97"
"None ","1","0.97"
"None now previously Springfield outpatient","1","0.97"
"North Hampton MA","1","0.97"
"Northampton","1","0.97"
"Oklahoma","1","0.97"
"Pittsburgh","1","0.97"
"Portland ","1","0.97"
"Portland VAMC","1","0.97"
"Providence","1","0.97"
"Providence Ri","1","0.97"
"Providence RI","1","0.97"
"Providence, R.I.","1","0.97"
"Pueblo Colorado","1","0.97"
"quincy","1","0.97"
"Redding California","1","0.97"
"RI","1","0.97"
"Richmond VA","1","0.97"
"Saco","1","0.97"
"san diego ","1","0.97"
"Savannah ","1","0.97"
"Southern Nevada","1","0.97"
"Spokane, WA","1","0.97"
"Springfield Ma","1","0.97"
"Togus VS in Maine","1","0.97"
"Tripler Hawaii","1","0.97"
"VA Leeds/ Vet Center West Springfield, MA","1","0.97"
"Vegas","1","0.97"
"Watertown ","1","0.97"
"West Los Angeles","1","0.97"
"West Roxbury , Boston, Mass","1","0.97"
"West Roxbury VAMC  Massachusetts","1","0.97"
"White City, OR (SORCC)","1","0.97"
"White river junction ","1","0.97"
"Worcester ","1","0.97"
"Worcester Ma.","1","0.97"
