"q74","What was the highest pay grade/rank achieved at the time of formal discharge?","n =  146"
"response","count","percent_responded"
"E5","29","19.86"
"E4","20","13.7"
"E3","8","5.48"
"E-4","7","4.79"
"E6","7","4.79"
"E-5","6","4.11"
"E-6","3","2.05"
"e4","3","2.05"
"E7","3","2.05"
"O4","3","2.05"
"CW02","2","1.37"
"E-2","2","1.37"
"E-3","2","1.37"
"e-4","2","1.37"
"e2","2","1.37"
"Lcpl","2","1.37"
"Pretty high","2","1.37"
"Spec5","2","1.37"
"04/lcdr","1","0.68"
"2","1","0.68"
"a","1","0.68"
"AW 2nd class","1","0.68"
"Captain","1","0.68"
"Cheif","1","0.68"
"Cpl","1","0.68"
"Cw3","1","0.68"
"E-1","1","0.68"
"E-5 sergeant ","1","0.68"
"E-5/GS-11","1","0.68"
"E-7","1","0.68"
"E-8","1","0.68"
"E-9","1","0.68"
"E2","1","0.68"
"e3","1","0.68"
"e5","1","0.68"
"E6/Staff Sargent","1","0.68"
"E7/SFC ","1","0.68"
"E8","1","0.68"
"Ha ha","1","0.68"
"L/cpl","1","0.68"
"Major O-4","1","0.68"
"none","1","0.68"
"O3-E","1","0.68"
"O6.  Col","1","0.68"
"Petty officer 1st class","1","0.68"
"PFC","1","0.68"
"ROTC CADET E5","1","0.68"
"S7","1","0.68"
"Sargent","1","0.68"
"Sergeant","1","0.68"
"sgt","1","0.68"
"Spc","1","0.68"
"Specialist ","1","0.68"
"SSG/E-6","1","0.68"
"Ssg/E6","1","0.68"
"Ssgt ","1","0.68"
"SSgt ","1","0.68"
"test","1","0.68"
"TSgt","1","0.68"
