"q76","Where were you deployed/stationed? (Please select all that apply)","n =  146"
"response","count","percent_responded"
"United States","98","67.12"
"Other (please specify)","41","28.08"
"Iraq","39","26.71"
"Afghanistan","31","21.23"
"Kuwait","28","19.18"
"Qatar","16","10.96"
"Saudi Arabia","15","10.27"
"South Korea","15","10.27"
"Philippines","14","9.59"
"The United Arab Emirates","12","8.22"
"Oman Bahrain","8","5.48"
"Kyrgyzstan","6","4.11"
"Somalia","6","4.11"
"Sinai Peninsula","5","3.42"
"Albania","4","2.74"
"Djibouti","4","2.74"
"Kosovo","4","2.74"
"Jordan","3","2.05"
"The Adriatic Sea","3","2.05"
"Yemen","3","2.05"
"Pakistan","2","1.37"
"The Federal Republic of Yugoslavia (Serbia/Montenegro)","2","1.37"
"Lebanon","1","0.68"
"Syria","1","0.68"
"Tajikistan","1","0.68"
"The Lonian Sea - north of the 39th parallel","1","0.68"
"Uzbekistan","1","0.68"
