"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  144"
"response","count","percent_responded"
"Burn Pits","52","36.11"
"Asbestos","43","29.86"
"I was not exposed to any of these","34","23.61"
"Specific Environmental Hazards","29","20.14"
"Gulf war illness","19","13.19"
"Other (please specify)","17","11.81"
"Agent Orange","15","10.42"
"Radiation Exposure","15","10.42"
"Gulf war illness in Afghanistan","10","6.94"
"contaminated drinking water at camp Lejelune","9","6.25"
"Children having birth defects like Spina Bifida","3","2.08"
"Contact with mustard gas or lewisite","3","2.08"
"Project 112/SHAD","1","0.69"
