"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  333"
"response","count","percent_responded"
"Chronic pain","237","71.17"
"Anxiety","206","61.86"
"Depression","200","60.06"
"Posttraumatic stress disorder (PTSD)","178","53.45"
"Insomnia","145","43.54"
"Arthritis","129","38.74"
"Gastrointestinal/digestive system disorders","45","13.51"
"Hypertension","43","12.91"
"Other (please specify)","38","11.41"
"Attention deficit/hyperactivity disorder (ADHD)","35","10.51"
"Substance abuse/addiction","30","9.01"
"Fibromyalgia/myositis","29","8.71"
"Bipolar/manic depression","25","7.51"
"Respiratory problems","18","5.41"
"Cancer","17","5.11"
"Inflammatory bowel disease (IBD)","17","5.11"
"Allergies","15","4.5"
"Diabetes","15","4.5"
"Reflux esophagitis","15","4.5"
"Cardiovascular disease","12","3.6"
"Multiple sclerosis","6","1.8"
"Obesity","6","1.8"
"HIV/AIDS","5","1.5"
"Eczema","3","0.9"
"Epilepsy","3","0.9"
"Alzheimer's","2","0.6"
"Autism","1","0.3"
