"q56","What is your favorite cannabis strain?","n =  333"
"response","count","percent_responded"
"Sativa","7","2.41"
"GSC","4","1.38"
"n/a","4","1.38"
"N/A","4","1.38"
"Blue dream","3","1.03"
"Blue Dream","3","1.03"
"Gorilla glue","3","1.03"
"Na","3","1.03"
"None","3","1.03"
"Cape Cod Kush","2","0.69"
"Chocolate Thai","2","0.69"
"GG#4","2","0.69"
"GG4","2","0.69"
"Gorilla Glue","2","0.69"
"Grand Daddy Purple ","2","0.69"
"Grandaddy Purple","2","0.69"
"Honey Bananas","2","0.69"
"indica","2","0.69"
"Katsu Kush","2","0.69"
"Kush","2","0.69"
"Lemon Skunk","2","0.69"
"Mango Kush","2","0.69"
"Master Kush","2","0.69"
"Northern lights","2","0.69"
"Og Kush","2","0.69"
"Sour Diesel","2","0.69"
"Unknown ","2","0.69"
"1:01","1","0.34"
"50/50","1","0.34"
"92 Cookies","1","0.34"
"9lb hammer","1","0.34"
"AC/DC","1","0.34"
"Afganistan  kush","1","0.34"
"Afghan ","1","0.34"
"Afghan Skunk","1","0.34"
"Afghani Goo","1","0.34"
"Ak 47","1","0.34"
"Alaska thunder f””k","1","0.34"
"all","1","0.34"
"any","1","0.34"
"Any","1","0.34"
"Any kush","1","0.34"
"Anyone","1","0.34"
"Appetite inducing","1","0.34"
"Banana ","1","0.34"
"Banana Kush","1","0.34"
"Berkel or Midnight","1","0.34"
"Big bud","1","0.34"
"Big Buddha cheese ","1","0.34"
"Biodiesel ","1","0.34"
"Blackberry kush","1","0.34"
"Bluberry Pancake","1","0.34"
"blue dream","1","0.34"
"Blue dream ","1","0.34"
"Blue Dream ","1","0.34"
"Blue Dreams","1","0.34"
"Blue Mountain Durban","1","0.34"
"blueberry cheesecake","1","0.34"
"Blueberry kush","1","0.34"
"Bluedream","1","0.34"
"Bordello","1","0.34"
"Brown sugar","1","0.34"
"Bruce Banner","1","0.34"
"Bubba Gump","1","0.34"
"Buddas Sister","1","0.34"
"Buddha's Sister","1","0.34"
"Calf.","1","0.34"
"Candyland ","1","0.34"
"Cataract Kush","1","0.34"
"Cbd blueberry ","1","0.34"
"cbd yummy","1","0.34"
"Cetiva ","1","0.34"
"Cheesquake","1","0.34"
"Chem","1","0.34"
"Chem OG","1","0.34"
"CHRONIC","1","0.34"
"Church","1","0.34"
"Clementine","1","0.34"
"COLOMBIAN GOLD","1","0.34"
"Cornbread ","1","0.34"
"Critical mass","1","0.34"
"D/K","1","0.34"
"Dakini Kush","1","0.34"
"Deadhead","1","0.34"
"Diablo fuego","1","0.34"
"Different strains for different reasons ","1","0.34"
"doesn't matter","1","0.34"
"don't have a favorite","1","0.34"
"Don't know","1","0.34"
"don, have one","1","0.34"
"dont have one","1","0.34"
"Dragon's breath","1","0.34"
"Durban ","1","0.34"
"Durban Poison ","1","0.34"
"Electric Funk","1","0.34"
"facewreck","1","0.34"
"Facewreck","1","0.34"
"Flo ","1","0.34"
"Gdp","1","0.34"
"GDP","1","0.34"
"Gelato","1","0.34"
"Gelato 33","1","0.34"
"Gelto","1","0.34"
"generic","1","0.34"
"GG","1","0.34"
"GG ","1","0.34"
"GG #4 , Blue Dream","1","0.34"
"Ghost OG","1","0.34"
"Ghost train haze","1","0.34"
"Girl Scout cookie","1","0.34"
"Girl scout cookies","1","0.34"
"Girl Scout cookies","1","0.34"
"Girl Scout Cookies","1","0.34"
"girl scout cookies/og kush","1","0.34"
"Golden Goat","1","0.34"
"Gorilla Cookies","1","0.34"
"gorilla glue","1","0.34"
"Gorilla Glue #4","1","0.34"
"Gorilla Glue 4","1","0.34"
"Gorrila glue","1","0.34"
"grand daddy purple","1","0.34"
"Grand Daddy Purple","1","0.34"
"Grand Daddy Purple, white widow, Durban Poison, Strawberry Cough","1","0.34"
