"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  333"
"response","count","percent_responded"
"Chronic pain","244","73.27"
"Anxiety","227","68.17"
"Depression","227","68.17"
"Posttraumatic stress disorder (PTSD)","190","57.06"
"Insomnia","156","46.85"
"Arthritis","145","43.54"
"Allergies","88","26.43"
"Hypertension","84","25.23"
"Gastrointestinal/digestive system disorders","81","24.32"
"Other (please specify)","75","22.52"
"Obesity","58","17.42"
"Respiratory problems","57","17.12"
"Reflux esophagitis","49","14.71"
"Substance abuse/addiction","49","14.71"
"Diabetes","46","13.81"
"Attention deficit/hyperactivity disorder (ADHD)","43","12.91"
"Cardiovascular disease","34","10.21"
"Bipolar/manic depression","31","9.31"
"Fibromyalgia/myositis","30","9.01"
"Cancer","29","8.71"
"Inflammatory bowel disease (IBD)","28","8.41"
"Eczema","20","6.01"
"Multiple sclerosis","7","2.1"
"HIV/AIDS","6","1.8"
"Epilepsy","4","1.2"
"Alzheimer's","2","0.6"
"Autism","1","0.3"
