"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  333"
"response","count","percent_responded"
"Money to purchase products","204","61.26"
"Access to the right products","136","40.84"
"Money required to get medical card","129","38.74"
"Owning a firearm","102","30.63"
"Stigma","87","26.13"
"Workplace testing or other policies","77","23.12"
"Place to consume cannabis","76","22.82"
"Lack of knowledge","51","15.32"
"Other (please specify)","28","8.41"
"Previous bad experience","5","1.5"
