"q74","What was the highest pay grade/rank achieved at the time of formal discharge?","n =  333"
"response","count","percent_responded"
"E4","57","17.12"
"E5","45","13.51"
"E-4","27","8.11"
"E-5","23","6.91"
"E3","22","6.61"
"E6","14","4.2"
"E-3","11","3.3"
"E-6","8","2.4"
"e-4","6","1.8"
"e4","6","1.8"
"E1","4","1.2"
"E2","4","1.2"
"E-2","3","0.9"
"e3","3","0.9"
"E8","3","0.9"
"Sargent","3","0.9"
"Sgt","3","0.9"
"e-3","2","0.6"
"E-6/SSG","2","0.6"
"e5","2","0.6"
"e6","2","0.6"
"E7","2","0.6"
"E7/SFC ","2","0.6"
"Lcpl","2","0.6"
"PFC","2","0.6"
"Pretty high","2","0.6"
"Private","2","0.6"
"Sergeant","2","0.6"
"sgt","2","0.6"
"SGT","2","0.6"
"2","1","0.3"
"4","1","0.3"
"A1C","1","0.3"
"AIR FORCE CADET","1","0.3"
"Captain","1","0.3"
"Corporal","1","0.3"
"cpl","1","0.3"
"Cpl","1","0.3"
"CPL.","1","0.3"
"E-0","1","0.3"
"E-1","1","0.3"
"E-4/SPC","1","0.3"
"e-5","1","0.3"
"E-5 P.","1","0.3"
"E-5 SGT","1","0.3"
"E-5/GS-11","1","0.3"
"E-6 staff Sargent ","1","0.3"
"E-7","1","0.3"
"E-7 SFC","1","0.3"
"E-8/First Sergeant","1","0.3"
"E 4","1","0.3"
"E/3","1","0.3"
"e2","1","0.3"
"E4 specialist/corporal","1","0.3"
"E4P","1","0.3"
"E6/SSG","1","0.3"
"GS12/6","1","0.3"
"Ha ha","1","0.3"
"L/cpl","1","0.3"
"Lance Corporal","1","0.3"
"Lt","1","0.3"
"N/a","1","0.3"
"N/A","1","0.3"
"Nco","1","0.3"
"none","1","0.3"
"O4","1","0.3"
"PFC E-3","1","0.3"
"ROTC CADET E5","1","0.3"
"S7","1","0.3"
"sargeant","1","0.3"
"Seaman","1","0.3"
"Sergeant ","1","0.3"
"Sergeant E5","1","0.3"
"Sergeant/ E-5","1","0.3"
"Sgt  E5","1","0.3"
"SGT E-5","1","0.3"
"sgt E5","1","0.3"
"Sgt.","1","0.3"
"Sgt. E-4","1","0.3"
"Sgt. E-5","1","0.3"
"SGT/E5","1","0.3"
"Sp4","1","0.3"
"Spc","1","0.3"
"Spc4, I was offered chief by Pompey and I threatened him and that fat fuck had me pickled, I gonna kill him Mike Pompeo he's got my hat too that we argued over.","1","0.3"
"Spec-5","1","0.3"
"Specialist ","1","0.3"
"SSG","1","0.3"
"Ssg/E6","1","0.3"
"SSG/E6","1","0.3"
"Ssgt ","1","0.3"
"SSgt ","1","0.3"
"Ssgt E5","1","0.3"
"Staff sergeant ","1","0.3"
"test","1","0.3"
"Unkown","1","0.3"
