"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  232"
"response","count","percent_responded"
"Chronic pain","88","37.93"
"Posttraumatic stress disorder (PTSD)","62","26.72"
"Anxiety","30","12.93"
"Insomnia","12","5.17"
"Depression","11","4.74"
"Arthritis","9","3.88"
"Cancer","7","3.02"
"Attention deficit/hyperactivity disorder (ADHD)","3","1.29"
"Bipolar/manic depression","3","1.29"
"Diabetes","2","0.86"
"Fibromyalgia/myositis","2","0.86"
"Substance abuse/addiction","2","0.86"
"Cardiovascular disease","1","0.43"
