"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  232"
"response","count","percent_responded"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","140","60.34"
"Smoke flower","133","57.33"
"Vape cartridges","124","53.45"
"Tinctures","79","34.05"
"Vape flower","65","28.02"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","62","26.72"
"Salves/topicals","50","21.55"
"Capsules","33","14.22"
"Transdermal patches","13","5.6"
"Suppositories","9","3.88"
"Other (please specify)","6","2.59"
