"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  174"
"response","count","percent_responded"
"Chronic pain","53","30.46"
"Posttraumatic stress disorder (PTSD)","45","25.86"
"Anxiety","23","13.22"
"Depression","14","8.05"
"Insomnia","9","5.17"
"Arthritis","8","4.6"
"Cancer","7","4.02"
"Substance abuse/addiction","5","2.87"
"Bipolar/manic depression","4","2.3"
"Diabetes","2","1.15"
"Fibromyalgia/myositis","1","0.57"
"Gastrointestinal/digestive system disorders","1","0.57"
"Inflammatory bowel disease (IBD)","1","0.57"
"Respiratory problems","1","0.57"
