"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  174"
"response","count","percent_responded"
"Dry mouth","118","67.82"
"Changes in appetite","66","37.93"
"Increased energy","63","36.21"
"More or less talkative","58","33.33"
"Sleepiness/fatigue","31","17.82"
"Memory problems","26","14.94"
"Feeling of being ""altered""","22","12.64"
"Other (please specify)","20","11.49"
"Changes in libido","19","10.92"
"Racing thoughts","17","9.77"
"Difficulty concentrating","15","8.62"
"Heart racing/palpitations","15","8.62"
"Paranoia","14","8.05"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","13","7.47"
"Tough to get started in the morning (lassitude) or ""couch lock""","11","6.32"
"Dizziness","7","4.02"
"Sweating","6","3.45"
"Apathy","5","2.87"
"Nausea","5","2.87"
"GI changes (constipation, diarrhea, abdominal discomfort)","3","1.72"
"Anxiety","2","1.15"
"Headache","2","1.15"
