"q53","On average, how much do you spend (in US dollars) on consumable cannabis products per week?","n =  174  avg =  88.443"
"response","count","percent_responded"
"50","28","16.09"
"150","13","7.47"
"20","13","7.47"
"100","12","6.9"
"25","11","6.32"
"10","10","5.75"
"0","8","4.6"
"30","8","4.6"
"40","8","4.6"
"200","7","4.02"
"5","6","3.45"
"60","5","2.87"
"75","5","2.87"
"120","3","1.72"
"125","3","1.72"
"250","3","1.72"
"300","3","1.72"
"35","3","1.72"
"400","2","1.15"
"45","2","1.15"
"500","2","1.15"
"70","2","1.15"
"700","2","1.15"
"80","2","1.15"
"1","1","0.57"
"140","1","0.57"
"15","1","0.57"
"16","1","0.57"
"160","1","0.57"
"175","1","0.57"
"24","1","0.57"
"350","1","0.57"
"360","1","0.57"
"42","1","0.57"
"55","1","0.57"
"56","1","0.57"
"65","1","0.57"
