"q76","Where were you deployed/stationed? (Please select all that apply)","n =  174"
"response","count","percent_responded"
"United States","109","62.64"
"Other (please specify)","56","32.18"
"Iraq","41","23.56"
"Kuwait","33","18.97"
"Afghanistan","25","14.37"
"South Korea","21","12.07"
"Philippines","14","8.05"
"Saudi Arabia","13","7.47"
"The United Arab Emirates","13","7.47"
"Oman Bahrain","9","5.17"
"Qatar","9","5.17"
"Kyrgyzstan","7","4.02"
"Somalia","6","3.45"
"Djibouti","5","2.87"
"Jordan","4","2.3"
"Sinai Peninsula","4","2.3"
"The Federal Republic of Yugoslavia (Serbia/Montenegro)","4","2.3"
"Yemen","4","2.3"
"Kosovo","3","1.72"
"Syria","3","1.72"
"Lebanon","2","1.15"
"The Adriatic Sea","2","1.15"
"Albania","1","0.57"
"Pakistan","1","0.57"
"Tajikistan","1","0.57"
