"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  419"
"response","count","percent_responded"
"Dry mouth","278","66.35"
"Increased energy","150","35.8"
"Changes in appetite","144","34.37"
"More or less talkative","144","34.37"
"Sleepiness/fatigue","106","25.3"
"Changes in libido","56","13.37"
"Memory problems","49","11.69"
"Feeling of being ""altered""","47","11.22"
"Other (please specify)","45","10.74"
"Difficulty concentrating","33","7.88"
"Paranoia","31","7.4"
"Heart racing/palpitations","30","7.16"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","27","6.44"
"Racing thoughts","25","5.97"
"Tough to get started in the morning (lassitude) or ""couch lock""","21","5.01"
"Dizziness","14","3.34"
"Anxiety","13","3.1"
"Apathy","11","2.63"
"Nausea","11","2.63"
"Sweating","11","2.63"
"Headache","8","1.91"
"Depression","5","1.19"
"GI changes (constipation, diarrhea, abdominal discomfort)","5","1.19"
