"q56","What is your favorite cannabis strain?","n =  419"
"response","count","percent_responded"
"N/A","10","2.76"
"Sativa","8","2.21"
"None","7","1.93"
"Blue Dream","6","1.66"
"n/a","5","1.38"
"na","4","1.1"
"Sour diesel ","4","1.1"
"Blue dream","3","0.83"
"Gorilla glue","3","0.83"
"Grandaddy Purple","3","0.83"
"GSC","3","0.83"
"Kush","3","0.83"
"Master Kush","3","0.83"
"Na","3","0.83"
"Unknown","3","0.83"
"AC/DC","2","0.55"
"Any","2","0.55"
"Bluedream","2","0.55"
"charlottes web","2","0.55"
"Chocolate Thai","2","0.55"
"Gelato","2","0.55"
"GG4","2","0.55"
"Girl scout cookies","2","0.55"
"Gorilla Glue","2","0.55"
"Grape God","2","0.55"
"Green Crack","2","0.55"
"Headband","2","0.55"
"Honey Bananas","2","0.55"
"indica","2","0.55"
"Indica","2","0.55"
"Jack Herer","2","0.55"
"Jack Herrer","2","0.55"
"Katsu Kush","2","0.55"
"N/a","2","0.55"
"none","2","0.55"
"Pineapple Express","2","0.55"
"Sour Diesel","2","0.55"
"Tangie","2","0.55"
"White Widow","2","0.55"
"1","1","0.28"
"50/50","1","0.28"
"92 Cookies","1","0.28"
"9lb hammer","1","0.28"
"AC DC","1","0.28"
"Afganistan  kush","1","0.28"
"Afghan ","1","0.28"
"Afghan Skunk","1","0.28"
"Afghani Goo","1","0.28"
"AK-47","1","0.28"
"ak47","1","0.28"
"Alaska thunder f””k","1","0.28"
"Amnesia Haze","1","0.28"
"any","1","0.28"
"Anyone","1","0.28"
"Appetite inducing","1","0.28"
"atf","1","0.28"
"ATF","1","0.28"
"Banana ","1","0.28"
"Banana Cake","1","0.28"
"Banana Kush","1","0.28"
"Big bud","1","0.28"
"Big Buddha cheese ","1","0.28"
"Billy Kimber OG","1","0.28"
"Biodiesel ","1","0.28"
"Black Widow","1","0.28"
"Blackberry kush","1","0.28"
"Blissful wizard ","1","0.28"
"Bluberry Pancake","1","0.28"
"blue dream","1","0.28"
"Blue dream ","1","0.28"
"Blue Dream ","1","0.28"
"Blue Dreams","1","0.28"
"blue kush","1","0.28"
"Blue Magoo","1","0.28"
"Blueberry ","1","0.28"
"blueberry cheesecake","1","0.28"
"Blueberry kush","1","0.28"
"Blueberry Yum Yum","1","0.28"
"Bootylicious","1","0.28"
"Brown sugar","1","0.28"
"Bruce Banner","1","0.28"
"Bruce Banners Ghost","1","0.28"
"Bubba Gump","1","0.28"
"Bubba Kush","1","0.28"
"Bubble gum","1","0.28"
"Buddha's Sister","1","0.28"
"Calf.","1","0.28"
"Cali OG","1","0.28"
"cannatonic","1","0.28"
"Cape Cod Kush","1","0.28"
